,publication_number,patent_title,appl_type,negative_text
68,US10167538B2,Steel pipe,utility,"['<p id=""p-0007"" num=""0006"">However, there have been demands to further improve the internal pressure fatigue resistance properties of steel pipes.</p>', '<p id=""p-0008"" num=""0007"">In particular, in a steel pipe, a flaw is often imparted from the outside of the steel pipe rather than from the inside of the steel pipe. Therefore, in order to more effectively improve the internal pressure fatigue resistance properties, it is important to inhibit internal pressure fatigue fractures originating from flaws imparted from the outside.</p>', '<p id=""p-0009"" num=""0008"">In order to inhibit internal pressure fatigue fractures originating from flaws imparted from the outside, it is effective to increase compressive residual stresses at the outer surface of the steel pipe and in the vicinity of the outer surface.</p>', '<p id=""p-0010"" num=""0009"">Examples of methods of increasing compressive residual stress at the outer surface of a steel pipe include methods of performing shot blasting working, burnishing working, and the like with respect to the outer surface of a steel pipe.</p>', '<p id=""p-0011"" num=""0010"">However, these methods may be incapable of inhibiting a fatigue fracture originating from a flaw imparted from the outside because it is only the compressive residual stress in a very shallow portion including the outer surface that is increased by these methods. For example, in a case in which an outer surface is removed by cutting or the like of a steel pipe, and a flaw is imparted in a region in which the outer surface is removed, an internal pressure fatigue fracture originating from the flaw is easily generated. In a case in which a flaw having a depth from the outer surface to the inside of the steel pipe is imparted to the steel pipe, an internal pressure fatigue fracture originating from the flaw is also easily generated.</p>', '<p id=""p-0012"" num=""0011"">The invention was made under such circumstances with an object of providing a steel pipe having excellent internal pressure fatigue resistance properties.</p>']"
69,US10167539B2,Hot-rolled steel sheet and method for producing same,utility,"['<p id=""p-0011"" num=""0014"">As described above, it is the fact that the technique, which simultaneously satisfies the high-strength and both properties of the uniform deformability and the local deformability, is not found. For example, in order to improve the local deformability of the high-strength steel sheet, it is necessary to conduct the microstructure control including the inclusions. However, since the improvement relies on the microstructure control, it is necessary to control the fraction or the morphology of the microstructure such as the precipitates, the ferrite, or the bainite, and therefore the metallographic structure of the base is limited. Since the metallographic structure of the base is restricted, it is difficult not only to improve the local deformability but also to simultaneously improve the strength and the local deformability.</p>', '<p id=""p-0012"" num=""0015"">An object of the present invention is to provide a hot-rolled steel sheet which has the high-strength, the excellent uniform deformability, the excellent local deformability, and small orientation dependence (anisotropy) of formability by controlling texture and by controlling the size or the morphology of the grains in addition to the metallographic structure of the base, and is to provide a method for producing the same. Herein, in the present invention, the strength mainly represents tensile strength, and the high-strength indicates the strength of 440 MPa or more in the tensile strength. In addition, in the present invention, satisfaction of the high-strength, the excellent uniform deformability, and the excellent local deformability indicates a case of simultaneously satisfying all conditions of TS≥440 (unit: MPa), TS×u-EL≥7000 (unit: MPa·%), TS×λ≥30000 (unit: MPa·%), and d/RmC≥1 (no unit) by using characteristic values of the tensile strength (TS), the uniform elongation (u-EL), hole expansion ratio (λ), and d/RmC which is a ratio of thickness d to minimum radius RmC of bending to a C-direction.</p>']"
70,US10167542B2,Method for producing hot-dip Zn alloy-plated steel sheet,utility,"['<p id=""p-0008"" num=""0008"">In the invention disclosed by PTL 1, since it is necessary to cool the surface of the plating layer to a predetermined temperature before passing it through a water quenching zone, the production of hot-dip Zn alloy-plated steel sheets is restricted in some cases. For example, when producing a thick plated steel sheet, it is necessary to cool it to a predetermined temperature with a lowered feed rate of the plated steel sheet, which unavoidably lowers the productivity. Furthermore, when a readily oxidizable element is added to a plating bath, the readily oxidizable element easily forms a dross, and it is troublesome to control the concentration of the readily oxidizable element, which disadvantageously complicates the production process.</p>', '<p id=""p-0009"" num=""0009"">An object of the present invention is to provide a method for producing a hot-dip Zn alloy-plated steel sheet, which can easily suppress blackening of a surface of a plating layer without lowering the productivity and without performing complicated component control of a plating bath.</p>']"
71,US10167543B2,Method for manufacturing optical fiber preform,utility,"['<p id=""p-0010"" num=""0011"">Unfortunately, prior art such as that mentioned above exhibits the following problems. Specifically, a temperature of a gas containing the organosilicon may be lowered in a case where the gas is premixed with an oxygen gas, which has a comparatively low temperature. In a case where the temperature of the gas containing the organosilicon is lowered prior to the reaction by which the SiO<sub>2 </sub>soot is produced, the organosilicon, having a low vapor pressure, liquefies. Once the organosilicon liquefies in this manner, it becomes a hazard, since droplets of the organosilicon can be thrown from the burner while still ignited. Furthermore, the droplets adhering to a nozzle of the burner cause an irregular gas flow. This inhibits uniform deposit of glass particulate on the SiO<sub>2 </sub>soot after the reaction, there-fey reducing a quality of the optical fiber preform. Still further, in a worst-case scenario, a large amount of droplets can temporarily block up the nozzle and prevent an outflow of the gas. This can potentially cause flames to travel back up a burner pipe, and consequently cause an explosion within the burner.</p>', '<p id=""p-0011"" num=""0012"">The present invention was made in view of the aforementioned problems. An object of the present invention lies in manufacturing an optical fiber preform while preventing organosilicon from liquefying prior to a reaction by which SiO<sub>2 </sub>soot is produced, so as to improve safety and stability of the reaction.</p>']"
72,US10167544B2,"Vapor deposition mask, vapor deposition mask preparation body, method for producing vapor deposition mask, and method for producing organic semiconductor element",utility,"['<p id=""p-0009"" num=""0007"">The present invention is devised in view of the above-mentioned circumstances, and primary objects thereof are to provide a vapor deposition mask capable of satisfying both high definition and lightweight in upsizing and forming a vapor deposition pattern with high definition while the strength is secured, to provide a vapor deposition mask preparation body and a method for producing a vapor deposition mask capable of simply producing the vapor deposition mask, and furthermore, to provide a method for producing an organic semiconductor element capable of producing an organic semiconductor element excellent in precision.</p>']"
73,US10167566B2,"Substrate for light emitting device, light emitting device, and method for manufacturing substrate for light emitting device",utility,"['<p id=""p-0012"" num=""0011"">However, in a structure and a method for manufacturing the substrate in the related art in which the ceramic layer is formed on the metal base, new problems are generated.</p>', '<p id=""p-0013"" num=""0012"">The substrate in the related art has a structure in which a light emitting element mounting surface of a metal base is covered with a ceramic layer, and a surface (rear surface) which is a metal surface on a side opposite to the light emitting element mounting surface is exposed for securing heat dissipation. In this structure, for example, by making the metal surface of the base rear surface tightly adhere to a heat sink via heat dissipating grease, it is possible to realize high heat dissipation.</p>', '<p id=""p-0014"" num=""0013"">On the ceramic layer of the light emitting element mounting surface, in order to obtain an electric connection with the light emitting element an electrode pattern is formed. In a manufacturing process of the electrode pattern, first, as an underlayer of the electrode pattern, a circuit pattern is drawn by printing or the like by using a metal paste made of a resin containing metal particles, the circuit pattern is dried, and an underlying circuit pattern is prepared. Next, a resin-covered layer, which covers a front surface of the underlying circuit pattern, is removed by etching, and a conductive layer is exposed. Finally, by plating treatment, electrode metal is deposited on the underlying circuit pattern, and the electrode pattern is completed.</p>', '<p id=""p-0015"" num=""0014"">A first priority in the manufacturing process of the substrate in the related art is the plating treatment of forming the electrode pattern. In order to protect the metal base from plating solution, which is used in the plating treatment, it is necessary to cover the base metal surface with a protection sheet as a pre-treatment process, or it is necessary to peel the protection sheet for ensuring heat dissipation of the substrate as a post-treatment process. If the plating treatment is performed in a state where the process of covering with the protection sheet is omitted, and the metal surface of the metal base rear surface is exposed, not only the plating solution infiltrates to the metal base rear surface, but also a noble metal, such as Au, which is the same as the electrode pattern is deposited and covers the surface. In other words, in addition to erosion of the base, a larger part of the noble metal in the plating solution is deposited not to the electrode pattern, but to a part which is not necessary on the base rear surface, and thus, a large amount of loss is generated in the noble metal. For this reason, a series of processes of carefully pasting and peeling the protection sheet so the plating solution does not leak takes time and cannot be omitted, and this causes a hindrance to performing mass production of the substrate for a light emitting device.</p>', '<p id=""p-0016"" num=""0015"">A solution that can be simply found, to the above-described problems is introducing a device which automatically performs attaching and detaching work of a protection sheet. However, there is no such general-purpose automated device, and in general, the automated device is an unrealistic choice for manufacturing the substrate for a light emitting device which should be made inexpensively. Next, a solution which can be considered, is using a special protection sheet. In other words, if a protection sheet is an insulation film in which erosion is not generated by the plating solution due to chemical resistance, and the plating solution is not deposited, and additionally, high conductivity and long-term reliability can be ensured, it is not necessary to peel the sheet after the plating treatment, if the sheet is at least pasted to the base. Even when such a protection sheet is continually used as a part of the substrate, high heat dissipation and long-term reliability, which are basic functions of the substrate, are not damaged. However, in a flexible protection sheet having chemical resistance made of an organic compound, there is not a protection sheet which can ensure a high level of a thermal conductivity which is necessary for a high-power LED light emitting device and long-term reliability at a high temperature, and can react to mass production.</p>', '<p id=""p-0017"" num=""0016"">In consideration of the above-described problems, an object of the present invention is to provide a substrate which has a function of protecting a base, and which is excellent in mass productivity without deterioration of a function required as a light emitting device, a method for manufacturing the substrate, and a light emitting device provided with the substrate.</p>']"
74,US10167569B2,Hexagonal diamond bulk sintered body and its manufacturing method,utility,"['<p id=""p-0007"" num=""0010"">Conventionally, various methods of fabricating hexagonal diamond have been disclosed. Patent Literature 2 discloses a shock wave pressurization method where a compact with a porosity of less than 50% composed of a mixture of graphite powder and copper powder (80-98 wt %) is shock-compressed at a projectile velocity of 500 to 2000 msec. Patent Literature 3 discloses a method of obtaining hexagonal diamond powder by colliding a high velocity object with cubic diamond powder at an impact pressure of at least 30 GPa generated by uniaxial shock waves. According to this method, the phase transition from cubic diamond to hexagonal diamond by layer shift is promoted by applying a shearing stress to cubic diamond powder.</p>', '<p id=""p-0008"" num=""0011"">Although each of these methods can partially provide high-purity hexagonal diamond, the product is in the form of powder and contains unreacted graphite and cubic diamond in a mixed manner. This means that a pure bulk sample of (single-phase) hexagonal diamond that can be used for industrial applications has not ever been obtained yet.</p>', '<p id=""p-0009"" num=""0012"">The present invention provides a method to obtain a bulk sintered body of pure (single-phase) hexagonal diamond that can be used for industrial applications.</p>']"
75,US10167592B2,Composition for fiber adhesion and fabrics using the same,utility,"['<p id=""p-0012"" num=""0011"">The present invention has been made to solve the above problems of the prior art, and an object of the present invention is to provide a fiber bonding composition with excellent heat shielding property, light shielding property, ultraviolet and infrared reflection characteristics, weather resistance, heat resistance, heat insulation, durability, etc.</p>', '<p id=""p-0013"" num=""0012"">In addition, the present invention is to provide a coating yarn which can be widely used for blinds, shade film, interior materials, etc. because of excellent thermal shielding property, light shielding property, ultraviolet ray and infrared ray reflection property, weather resistance, heat resistance.</p>', '<p id=""p-0014"" num=""0013"">Furthermore, the present invention is to provide a fabric for blind, sunscreen or interiors where it is possible to implement various colors because the fabric is a white color, and the energy can be dramatically reduced because the fabric lowers the indoor temperature and reduces the cooling.</p>']"
76,US10167610B2,Construction machine,utility,"['<p id=""p-0006"" num=""0005"">As the reducing agent for purifying exhaust gas, urea water is generally used. This urea water is deteriorated when the temperature of the urea water becomes high, and the urea water is frozen when the temperature of the urea water becomes low, and therefore it is necessary to consider influence by heat in order to perform wiring of a reducing agent hose for supplying urea water. On the other hand, for example, in a minimal swing radius type hydraulic excavator, the size in the front-rear direction of an upperstructure is restricted, and in a case where devices are installed on the upperstructure with a restricted space, there is an actual situation where it is difficult to ensure a sufficient space for wiring of the reducing agent hose.</p>', '<p id=""p-0007"" num=""0006"">Particularly, like Patent Literature 1, in a case where the liquid reducing agent tank (reducing agent tank) and the exhaust gas purification section (exhaust gas post-treatment device) including an injector are provided with the cooling device (heat exchange unit) therebetween at separate positions on the right and the left, it is not easy to suitably perform wiring of the reducing agent hose within a limited space on the upperstructure including the engine room while considering influence by heat. In Patent Literature 1, the wiring of the reducing agent hose is not specifically mentioned, cope with the influence by the heat to the reducing agent hose, and a problem for wiring the reducing agent hose by effectively utilizing the limited space on the upperstructure including the engine room are not considered.</p>', '<p id=""p-0008"" num=""0007"">The present invention has been made in view of the above actual situation, and an object of the invention is to provide a construction machine in which a reducing agent hose is less likely to be influenced by heat, and wiring of the reducing agent hose can be performed by effectively utilizing a limited space on an upperstructure including an engine room.</p>']"
77,US10167611B2,Hydraulic excavator drive system,utility,"['<p id=""p-0005"" num=""0004"">Each of the arm and the bucket is driven such that its center of gravity crosses a vertical line that passes through its swinging center. Therefore, in the case of performing an arm crowding operation to bring the arm close to an operator cab, the weight of the arm is exerted in such a direction as to accelerate the swinging of the arm, or in such a direction as to decelerate the swinging of the arm, depending on the position of the arm. Similarly, in the case of performing a bucket-in operation to bring the bucket close to the operator cab, the weight of the bucket is exerted in such a direction as to accelerate the swinging of the bucket, or in such a direction as to decelerate the swinging of the bucket, depending on the position of the bucket.</p>', '<p id=""p-0006"" num=""0005"">In the case of performing an arm crowding operation or bucket-in operation, hydraulic oil returns to the tank from the rod side of the arm cylinder or bucket cylinder via a control valve. Here, if the opening area of an arm control valve or bucket control valve for returning the hydraulic oil to the tank at the time of expanding the cylinder is large, then in the case of moving the arm or bucket in the air, until the center of gravity of the arm or bucket reaches directly below its swinging center, there is a risk that cavitation occurs at the head side of the cylinder due to the above-described influence of the weight of the arm or bucket. Also, in the case of further continuing operating the arm or bucket, after the center of gravity of the arm or bucket has reached directly below its swinging center, there is a risk that the swinging of the arm or bucket temporarily stops until the head-side pressure of the cylinder becomes sufficiently high.</p>', '<p id=""p-0007"" num=""0006"">As one measure for preventing these problems, it is conceivable to perform meter-out control of the control valve at the time of expanding the arm cylinder or bucket cylinder. Specifically, the opening area of the control valve for returning the hydraulic oil to the tank at the time of expanding the cylinder is reduced. However, in this case, particularly at the time of performing excavation, the reduced opening area causes resistance, and thereby the discharge pressure of the hydraulic pump increases more than necessary, which results in wasteful energy consumption.</p>', '<p id=""p-0008"" num=""0007"">In view of the above, an object of the present invention is to provide a hydraulic excavator drive system capable of suppressing wasteful energy consumption while preventing the occurrence of cavitation at the head side of the arm cylinder or bucket cylinder and preventing temporary stopping of the swinging of the arm or bucket.</p>']"
78,US10167613B2,Hydraulic drive system of construction machine,utility,"['<p id=""p-0007"" num=""0006"">However, in a case where the alternator is directly connected to the battery (which is one type of an electrical storage device) as in the hydraulic drive system disclosed by Patent Literature 1, while the engine is in operation, electric power generated by the alternator is always transmitted to the battery regardless of whether the engine load is high or low.</p>', '<p id=""p-0008"" num=""0007"">Meanwhile, in a hydraulic drive system, it is desired that energy be regenerated by utilizing the hydraulic oil that is returned from an actuator to the tank at the time of, for example, boom lowering and/or turning deceleration.</p>', '<p id=""p-0009"" num=""0008"">In the hydraulic drive system disclosed by Patent Literature 1, even in a case where energy can be regenerated at the time of boom lowering and/or turning deceleration, electric power is always generated by the alternator, and thus energy is wastefully consumed.</p>', '<p id=""p-0010"" num=""0009"">In view of this, an object of the present invention is to provide a hydraulic drive system of a construction machine, the system being capable of regenerating energy while controlling electric power transmission from an alternator to an electrical storage device.</p>']"
79,US10167728B2,"Seal member, turbine, and gas turbine",utility,"['<p id=""p-0013"" num=""0012"">However, as shown in <figref idref=""DRAWINGS"">FIG. 8</figref>, an annular space N<b>1</b> which is a slight gap exists between the support ring and a rear surface of the inner shroud <b>21</b><i>b </i>(a surface facing inward in the radial direction) from a position of the retainer <b>21</b><i>d </i>to the downstream end section of the inner shroud <b>21</b><i>b</i>. Since the space N<b>1</b> is separated from the casing S<b>1</b> by the retainer <b>21</b><i>d </i>and the support ring <b>25</b>, the space N<b>1</b> has substantially the same pressure as the interstage pressure between the first vane row <b>21</b> and the first blade row <b>22</b>. That is, since the pressure of the combustion gas G flowing through the main flow path FC<b>1</b> corresponding to the position of the space N<b>1</b> is higher than the pressure of the space N<b>1</b>, the combustion gas G easily flows into the space N<b>1</b> along the seal plate <b>31</b> from the gap K. That is, leaking gas LG, which is part of the combustion gas G, flows into the space N<b>1</b> from the gap K, which may cause the rear surface of the inner shroud <b>21</b><i>b </i>and the upper surface of the support ring <b>25</b> to be burnt.</p>', '<p id=""p-0014"" num=""0013"">The present invention provides a seal member, a turbine, and a gas turbine that are capable of suppressing inflow of the leaking gas of the combustion gas from between the adjacent inner shrouds and preventing the components from being burnt.</p>']"
80,US10167745B2,Variable valve mechanism of internal combustion engine,utility,"['<p id=""p-0008"" num=""0007"">In Patent Document 1, an area through which the lost motion spring is installed from the portion above the outer arm requires space for this installation, which restricts the thickness of an upper portion of the outer arm. Consequently, the outer arm is structured such that the outer arm materials are connected only below this area, and thus the strength of the outer arm may decrease.</p>', '<p id=""p-0009"" num=""0008"">In contrast to Patent Document 1, a structure can be used in which a lost motion spring is installed from a portion below an outer arm. However, in this structure, an area through which the lost motion spring is installed from the portion below the outer arm requires space for this installation, which restricts the thickness of a lower portion of the outer arm. Consequently, the outer arm is structured such that the outer arm materials are connected only above this area, and thus the strength of the outer arm may decrease in the same manner as in Patent Document 1.</p>', '<p id=""p-0010"" num=""0009"">In Patent Document 2, the outer arm materials are connected at vertically opposite sides of the slot, and therefore, the strength of the outer arm is relatively high. However, the swinging amount of the inner arm is restricted depending on the length of the slot in the swinging direction. On the other hand, if the length of the slot is increased, the strength of the outer arm may decrease.</p>', '<p id=""p-0011"" num=""0010"">In view of this, it is an object of the present invention to increase the strength of an outer arm and obtain a sufficiently large swinging amount of an inner arm.</p>']"
81,US10167749B2,Variable valve mechanism of internal combustion engine,utility,"['<p id=""p-0008"" num=""0007"">In the valve mechanism <b>90</b>A of the conventional example 1, the drive state of the valve <b>7</b> cannot be changed. By contrast, in the variable valve mechanisms <b>90</b>B and <b>90</b>C of the conventional examples 2 and 3, the drive state of the valve <b>7</b> can be changed. However, between the cam <b>92</b> and the roller <b>95</b><i>a</i>, spaces g<b>2</b> and g<b>3</b> in which the variable arm <b>94</b> can be disposed need to be formed, respectively. Thus, when the variable valve mechanism <b>90</b>B or <b>90</b>C of the conventional example 2 or 3 is installed instead of the valve mechanism of the conventional example 1, in the space g<b>1</b> between the cam <b>92</b> and the roller <b>95</b><i>a </i>depicted in <figref idref=""DRAWINGS"">FIG. 8</figref>, the space g<b>2</b> or g<b>3</b> depicted in <figref idref=""DRAWINGS"">FIG. 9</figref> or <figref idref=""DRAWINGS"">FIG. 10</figref> needs to be formed. This space can be formed to a certain extent by, for example, changing the shape of the roller arm <b>95</b>, which cannot provide sufficient space in many cases. In such cases, the position of the camshaft <b>91</b> needs to be changed, which requires the cylinder head to be modified extensively.</p>', '<p id=""p-0009"" num=""0008"">Furthermore, in the variable valve mechanism <b>90</b>B of the conventional example 2, three members <b>92</b>, <b>95</b>, and <b>96</b> that are the cam <b>92</b>, the roller arm <b>95</b>, and the variable device <b>96</b> surround the variable arm <b>94</b> from three directions, whereby the variable arm <b>94</b> is swingably supported. Thus, these three members <b>92</b>, <b>95</b>, and <b>96</b> need to be arranged so as to surround the variable arm <b>94</b> from three directions in a well-balanced manner, which reduces the flexibility of arrangement.</p>', '<p id=""p-0010"" num=""0009"">Furthermore, in each of the variable valve mechanisms <b>90</b>B and <b>90</b>C of the conventional examples 2 and 3, one cam <b>92</b> presses two valves <b>7</b> positioned at both ends of a cylinder <b>5</b> via one variable arm <b>94</b> and two roller arms <b>95</b>. Thus, there is no particular problem in the case of an inter-bore journal bearing in which journal bearings <b>6</b><i>a </i>that support the camshaft <b>91</b> are disposed directly above between the cylinders <b>5</b> (bores) as depicted in <figref idref=""DRAWINGS"">FIG. 11A</figref>. However, in the case of a bore-center journal bearing in which each journal bearing <b>6</b><i>a </i>is disposed directly above the center portion (between two valves <b>7</b>) of the corresponding cylinder <b>5</b> (bore) as depicted in <figref idref=""DRAWINGS"">FIG. 11B</figref>, the corresponding variable arm <b>94</b> cannot be installed. This requires the bore-center journal bearing to be changed to the inter-bore journal bearing, which requires the cylinder head <b>6</b> to be modified extensively.</p>', '<p id=""p-0011"" num=""0010"">In view of this, it is a first object of the present invention, when a variable valve mechanism including a variable arm interposed between a cam and a roller is installed instead of a valve mechanism (e.g., the conventional example 1) including no variable arm interposed therebetween, to eliminate or minimize the necessity of changing the position of a camshaft and to provide flexibility in arrangement of the cam, a roller arm, and a variable device. Furthermore, it is a second object of the present invention to enable the variable valve mechanism to be installed even in the case of a bore-center journal bearing.</p>']"
82,US10167760B2,Control system of internal combustion engine,utility,"['<p id=""p-0011"" num=""0010"">In this regard, according to the inventors of this application, a control system performing control different from the control system described in the above-mentioned PLT 1, has been proposed. In this control system, when the air-fuel ratio detected by the downstream side air-fuel ratio sensor becomes a rich judgment air-fuel ratio (air-fuel ratio slightly richer than stoichiometric air-fuel ratio) or less, the target air-fuel ratio is set to an air-fuel ratio leaner than the stoichiometric air-fuel ratio (below, referred to as a “lean air-fuel ratio”). On the other hand, when, while the target air-fuel ratio is set to the lean air-fuel ratio, the amount of oxygen storage of the exhaust purification catalyst becomes not smaller than a switching reference storage amount which is smaller than the maximum storable oxygen amount, the target air-fuel ratio is set to an air-fuel ratio richer than the stoichiometric air-fuel ratio (below, referred to as a “rich air-fuel ratio”). That is, in this control system, the target air-fuel ratio is alternately switched between the rich air-fuel ratio and the lean air-fuel ratio.</p>', '<p id=""p-0012"" num=""0011"">When performing control in this way for alternately switching the target air-fuel ratio between the rich air-fuel ratio and the lean air-fuel ratio, the exhaust purification catalyst stores and releases oxygen. If the oxygen storage amount of the exhaust purification catalyst reaches the maximum storable oxygen amount, the exhaust purification catalyst can no longer store more oxygen. For this reason, oxygen and NO<sub>X </sub>flow out from the exhaust purification catalyst. Therefore, to suppress the outflow of NO<sub>X </sub>from the exhaust purification catalyst, the maximum storable oxygen amount of the exhaust purification catalyst must be maintained large.</p>', '<p id=""p-0013"" num=""0012"">In this regard, exhaust gas discharged from an engine body contains sulfur ingredients including SO<sub>X</sub>. If the exhaust purification catalyst stores these sulfur ingredients, the maximum storable oxygen amount of the exhaust purification catalyst is reduced by that amount. Therefore, from the viewpoint of maintaining the maximum storable oxygen amount of the exhaust purification catalyst high, the amount of storage of the sulfur ingredients of the exhaust purification catalyst must be kept low.</p>', '<p id=""p-0014"" num=""0013"">Therefore, in view of this problem, an object of the present invention is to provide a control system of an internal combustion engine which performs control to alternately switch a target air-fuel ratio between a rich air-fuel ratio and a lean air-fuel ratio wherein the amount of storage of the sulfur ingredients of the exhaust purification catalyst is kept low.</p>']"
83,US10167853B2,Method for detecting damage of wind turbine blade and wind turbine,utility,"['<p id=""p-0008"" num=""0007"">In some cases with strain gauges, the average of the output varies (drifts) with time due to e.g. self-heating during passage of a current. For this reason, strain gauges may be insufficient in reliability of measurement over a long period of time.</p>', '<p id=""p-0009"" num=""0008"">On the other hand, it is also known that a strain is measured by using an optical fiber sensor. However, in the measurement of a strain by means of an optical fiber sensor, a measurement error may actually be caused with a change in the outside air temperature. Such a measurement error may have effect on accuracy of damage detection based on a measurement of a strain by using an optical fiber sensor.</p>', '<p id=""p-0010"" num=""0009"">In view of the above circumstances, at least one embodiment of the present invention is to provide a method for detecting damage of a wind turbine blade with a good accuracy even under an environment where temperature changes.</p>']"
84,US10167855B2,Piston included in liquid-pressure rotating device and liquid-pressure rotating device,utility,"['<p id=""p-0012"" num=""0011"">According to the conventional piston <b>48</b>, as shown in a partially enlarged sectional view of <figref idref=""DRAWINGS"">FIG. 19</figref>, a corner portion formed by an inner surface <b>50</b><i>b </i>of the lid portion <b>50</b> and an inner peripheral surface <b>49</b><i>a </i>of the peripheral wall main body portion <b>49</b> is a corner angle portion <b>54</b> having a substantially right angle. Therefore, stress concentrates on an end portion <b>55</b><i>a </i>of a welded portion <b>55</b> formed at the corner angle portion <b>54</b>, the end portion <b>55</b><i>a </i>being located at the hollow portion <b>10</b><i>b </i>side. Thus, fatigue strength of the end portion <b>55</b><i>a </i>of the welded portion <b>55</b> deteriorates. As a result, the life of the piston <b>48</b> shortens.</p>', '<p id=""p-0013"" num=""0012"">It should be noted that the stress concentrating on the end portion <b>55</b><i>a </i>of the welded portion <b>55</b> is based on: stress generated by force acting on the pressure receiving surface <b>50</b><i>a </i>and outer peripheral surface <b>49</b><i>b </i>of the piston <b>48</b>; and residual stress of the welded portion <b>55</b>.</p>', '<p id=""p-0014"" num=""0013"">The present invention was made to solve the above problems, and an object of the present invention is to provide a piston included in a liquid-pressure rotating device and the liquid-pressure rotating device, in each of which a weight reduction of the piston can be realized, strength of the piston can be improved, and an energy conversion efficiency and maximum rotating speed of the liquid-pressure rotating device in which the piston is provided can be improved.</p>']"
85,US10167860B2,Hermetic compressor and refrigeration apparatus,utility,"['<p id=""p-0008"" num=""0007"">However, the manufacturing of the valve plate <b>80</b> of the above-described hermetic compressor disclosed in Patent Literature 1 is not easy. In addition, as a result of studies conducted by the inventors of the present invention, they have found out the following problem: the valve plate <b>80</b> with the above-described configuration cannot effectively suppress an increase in the suction resistance in the vicinity of the suction hole <b>83</b>.</p>', '<p id=""p-0009"" num=""0008"">Generally speaking, the valve plate is manufactured by molding a metal powder in a mold and sintering the powder (powder metallurgy). In the valve plate <b>80</b> with the above-described configuration, the suction hole <b>83</b> has a complex substantially U shape. Therefore, at the time of fabricating the mold, the forming process of the mold is complex. For this reason, the mold cannot be fabricated easily. Consequently, the valve plate <b>80</b> cannot be manufactured easily.</p>', '<p id=""p-0010"" num=""0009"">Generally speaking, the cross section of the communication pipe has a substantially round shape. However, in the valve plate <b>80</b> with the above-described configuration, the suction hole <b>83</b> has a substantially U shape. For this reason, as shown in <figref idref=""DRAWINGS"">FIG. 11</figref>, even though the transition portion T is formed in the suction passage <b>831</b>, the cross-sectional shape of the passage suddenly changes from a substantially round shape (the communication pipe outlet <b>863</b>) into a substantially U shape (the suction hole <b>83</b>). Accordingly, the cooling medium gas from a passage having a large cross-sectional area (the communication pipe outlet <b>863</b>) suddenly flows into a passage having a small cross-sectional area (the suction hole <b>83</b>). As a result, the suction resistance of the cooling medium gas increases.</p>', '<p id=""p-0011"" num=""0010"">In general, the flow velocity of the cooling medium gas increases in the vicinity of the suction hole. However, since the suction hole <b>83</b> has a substantially U shape, a difference in the flow velocity of the cooling medium gas tends to occur between the central portion of the suction hole <b>83</b> and both end portions of the suction hole <b>83</b>. Accordingly, in the suction hole <b>83</b> having the substantially U shape, a flow through the central portion and a flow through both the end portions, i.e., two kinds of flows, are formed. Consequently, the cooling medium gas cannot smoothly flow into the cylinder.</p>', '<p id=""p-0012"" num=""0011"">As described above, in the case of using the valve plate <b>80</b> with the above-described configuration, the suction resistance increases in the vicinity of the suction hole <b>83</b> due to the sudden change in the area of the passage and the formation of the two kinds of flows. Therefore, in a hermetic compressor including such a valve plate <b>80</b>, suction loss is great, which lowers the compression efficiency.</p>', '<p id=""p-0013"" num=""0012"">The present invention has been made to solve the above-described problems. An object of the present invention is to make it possible to readily manufacture a valve plate and to provide a hermetic compressor with higher efficiency.</p>']"
86,US10167867B2,Scroll fluid machine having tip seal member separated into different portions,utility,"['<p id=""p-0007"" num=""0006"">According to the scroll fluid machine illustrated in FIG. 2 of Japanese Patent Application Publication (Kokai) No. 2003-129970, the seal member is slightly smaller in width than the wrap groove. For this reason, as shown in <figref idref=""DRAWINGS"">FIG. 14</figref>, the condition of contact between the end faces a<b>1</b>, a<b>2</b> of the intermediate seal member a and the inner face b<b>1</b> and the outer face b<b>2</b> of the spiral-shaped seal member b possibly become unstable due to secular changes in long-term use, the orbital motion of the orbiting scroll, etc. An unstable contact might create a gap in each corner eat which an intermediate groove c intersects with a spiral wrap groove d, causing the compressed fluid to escape through the gaps.</p>', '<p id=""p-0008"" num=""0007"">According to the scroll fluid machine illustrated in FIGS. 6 to 9 of Japanese Patent Application Publication (Kokai) No. 2003-129970, while the fluid is being compressed in the compression space, the first seal member normally receives the pressure of the compressed fluid at the bottom face and is pressed against a mirror surface of the orbiting scroll. However, since a longitudinal and substantially intermediate portion of the first seal member is fitted in the intermediate groove in a bent position to partition the first-stage outlet from the second-stage inlet, there is the chance that the intermediate portion of the first seal member is not uniformly pressed against the mirror surface of the orbiting scroll by the pressure of the compressed fluid. If this occurs, the compressed fluid escapes from the second-stage compression chamber, passes through a portion which is pressed with low pressure, and enters the first-stage compression chamber.</p>', '<p id=""p-0009"" num=""0008"">In such circumstances, there has been a demand for a fluid machine configured to reliably prevent the compressed fluid which has been compressed in the second-stage compression chamber from escaping from the second-stage compression chamber into the first-stage compression chamber.</p>']"
