,publication_number,patent_title,appl_type,negative_text
64,US10202676B2,Method for producing hot-dip Zn alloy-plated steel sheet,utility,"['<p id=""p-0008"" num=""0007"">In the invention disclosed by PTL 1, since it is necessary to cool the surface of the plating layer to a predetermined temperature before passing it through a water quenching zone, the production of hot-dip Zn alloy-plated steel sheets is restricted in some cases. For example, when producing a thick plated steel sheet, it is necessary to cool it to a predetermined temperature with a lowered feed rate of the plated steel sheet, which unavoidably lowers the productivity. Furthermore, when a readily oxidizable element is added to a plating bath, the readily oxidizable element easily forms a dross, and it is troublesome to control the concentration of the readily oxidizable element, which disadvantageously complicates the production process.</p>', '<p id=""p-0009"" num=""0008"">An object of the present invention is to provide a method for producing a hot-dip Zn alloy-plated steel sheet, which can easily suppress blackening of a surface of a plating layer without lowering the productivity and without performing complicated component control of a plating bath.</p>']"
65,US10202689B2,Laminate and gas barrier film,utility,"['<p id=""p-0034"" num=""0033"">The atomic layer deposition film formed by the method described in PTL 1 is easily scratched (pin holes may be caused as well) by external force. When the atomic layer deposition film is scratched by external force, the scratch may reach the substrate.</p>', '<p id=""p-0035"" num=""0034"">When such a scratch is made, gas can flow in and out between the atomic layer deposition film and the substrate through the scratch, in the atmosphere after film formation. As a result, the gas barrier properties are deteriorated, or the lamination strength between the substrate and the atomic layer deposition film is lowered.</p>', '<p id=""p-0036"" num=""0035"">As another problem, when fabricating a gas barrier film having a laminate including an atomic layer deposition film which is easily scratched in this way, the gas barrier properties of the gas barrier film will be deteriorated unless a fabrication line is designed such that a rigid object is prevented from contacting the atomic layer deposition film after being formed.</p>', '<p id=""p-0037"" num=""0036"">Therefore, in the processing steps of fabricating a gas barrier film from a laminate, taking up of the gas barrier film into a roll can deteriorate the gas barrier properties of the film. Thus, there has been a problem that a gas barrier film having a laminate including an atomic layer deposition film cannot be conveyed and stored in a rolled state.</p>', '<p id=""p-0038"" num=""0037"">The present invention has been made in light of the circumstances set forth above, and has an object of providing a laminate that can minimize deterioration in the gas barrier properties and the lamination strength between a substrate and an atomic layer deposition film formed on an outer surface of the substrate, and can minimize deterioration in the gas barrier properties if the laminate is conveyed and stored in a rolled state, by preventing the atomic layer deposition film from being easily scratched due to external force, and providing a gas barrier film having the laminate.</p>']"
66,US10202698B2,Device for manufacturing organic hydride,utility,"['<p id=""p-0008"" num=""0007"">In Patent Literature 1 that describes a conventional device for producing an organic hydride, a solid polymer electrolyte membrane is joined to not only a cathode catalyst but also an anode catalyst. Therefore, Patent Literature 1 has a problem in which an oxygen gas generated on the anode catalyst tends to remain.</p>', '<p id=""p-0009"" num=""0008"">The present invention has been made in view of such a problem, and an object of the present invention is to provide a technology capable of suppressing retention of an oxygen gas on an anode catalyst of a device for producing an organic hydride.</p>']"
67,US10202706B2,Silicon carbide single crystal wafer and method of manufacturing a silicon carbide single crystal ingot,utility,"['<p id=""p-0021"" num=""0034"">While the manufacturing methods that reduce the dislocation density of a wafer and similar methods have been practiced as described above, recent findings indicate that improving the device yield and forming a favorable epitaxial thin film on a wafer are not possible with a wafer that is simply low in dislocation density.</p>', '<p id=""p-0022"" num=""0035"">The present invention has been made in view of the problems described above, and an object of the present invention is to provide a SiC single crystal wafer that is low in dislocation density and small in elastic strain as well, and a method of manufacturing a silicon carbide single crystal ingot from which the SiC single crystal wafer can be obtained.</p>']"
68,US10202709B2,Method for manufacturing silicon carbide single crystal,utility,"['<p id=""p-0005"" num=""0004"">An object of the present disclosure is to provide a silicon carbide single crystal in which a different polytype is suppressed from being mixed.</p>']"
69,US10202741B2,Closed-circuit hydraulic system for construction machine,utility,"['<p id=""p-0017"" num=""0016"">The present disclosure is contrived to solve the problem and an object of the present disclosure is to provide a closed circuit hydraulic system for a construction machine which can easily implement a boosting function to increase thrust or torque of each actuator by using one variable relief valve in a construction machine constituted by the closed circuit hydraulic system.</p>']"
70,US10202765B2,Deck panel for construction,utility,"['<p id=""p-0012"" num=""0011"">The present disclosure has been made in an effort to solve the aforementioned problems, and an object of the present disclosure is to provide an environmentally-friendly deck panel for construction, in which a structure of the deck panel is improved and modularized, thereby reducing a period for construction of a reinforced concrete building, reducing construction costs, improving stability and construction quality, and minimizing construction wastes.</p>', '<p id=""p-0013"" num=""0012"">In addition, another object of the present disclosure is to provide a deck panel for construction which implements a deck panel structure in which the deck panels, which are disposed on a partitioned building, may be coupled, such that construction of a high-rise building may be simply and quickly performed.</p>']"
71,US10202882B2,Fault diagnosis device for exhaust pipe fuel injector,utility,"['<p id=""p-0007"" num=""0006"">However, in the exhaust pipe fuel injector, the nozzle hole is closed due to time-elapse deterioration so that an actual fuel injection amount is gradually reduced, and thus the fuel cannot be injected according to an instructed fuel injection amount. Therefore, there is needed a fault diagnosis device for an exhaust pipe fuel injector which diagnoses a normality or an abnormality of the exhaust pipe fuel injector.</p>', '<p id=""p-0008"" num=""0007"">In this regard, an object of the present invention is to provide a fault diagnosis device for an exhaust pipe fuel injector for diagnosing a normality or an abnormality of the exhaust pipe fuel injector.</p>']"
72,US10202895B2,"Control device of a vehicle, vehicle including control device, and control method of vehicle",utility,"['<p id=""p-0004"" num=""0003"">Japanese Patent Laying-Open No. 2000-234539 (PTD 1) does not specifically teach control of the engine in a normal mode. The engine usage status in the power generation mode differs from the engine usage status in the normal mode. After the control mode returns to the normal mode from the power generation mode, engine control suitable for vehicle running must be executed.</p>', '<p id=""p-0005"" num=""0004"">An object of the present invention is to provide the technique to appropriately control the operation of an internal combustion engine during vehicle running at a vehicle having the internal combustion engine used for power generation and vehicle running.</p>']"
73,US10202925B2,Internal combustion engine controller,utility,"['<p id=""p-0007"" num=""0006"">The present invention provides an internal combustion engine controller that carries out corrections with respect to a step-up switching stop operation and a step-up switching start operation of a step-up controller in consideration of the overshoot and undershoot due to delays of a step-up control circuit when a battery voltage and the characteristics of electronic parts mounted on a step-up circuit are changed, thereby carrying out accurate control to obtain step-up upper/lower-limit current threshold values set in advance.</p>']"
74,US10202932B2,Engine cooling structure,utility,"['<p id=""p-0006"" num=""0005"">However, in the engine cooling structure disclosed in Patent Document 1, since the cooling water in the water jacket flows along the outer side of the water jacket spacer, the heat of the cylinder liners is dissipated, via the cooling water, to the cylinder block outer peripheral wall that constitutes the outer periphery of the water jacket. Consequently, the cylinder liners are heated less effectively, and it takes time to make the temperature distribution of the entire cylinder liner substantially uniform. Therefore, sliding resistance of the pistons that slide inside the cylinder liner is not easily reduced, and the engine is less effectively warmed up. In addition, the upper portions of the cylinder liners that are near combustion chambers are cooled less effectively.</p>', '<p id=""p-0007"" num=""0006"">The technique disclosed herein has been developed in view of the foregoing, and some of the objects of the technique are to reduce heat dissipation to a cylinder block outer peripheral wall, to achieve fast and uniform heating of a cylinder liner, and to ensure cooling of an upper portion of the cylinder liner.</p>', '<p id=""h-0007"" num=""0000"">Solution to the Problem</p>', '<p id=""p-0008"" num=""0007"">To achieve the above objects, according to the technique disclosed herein, an upper section of a water jacket spacer is positioned close to a cylinder block outer peripheral wall, and a coolant passage is formed between the upper section of the water jacket spacer and an outer periphery of an upper portion of a cylinder liner.</p>', '<p id=""p-0009"" num=""0008"">Specifically, the technique disclosed herein relates to an engine cooling structure in which a water jacket surrounds a cylinder liner of a cylinder block forming part of an engine, a coolant-introducing section through which a coolant is introduced into the water jacket is formed in a cylinder block outer peripheral wall constituting an outer periphery of the water jacket, and a water jacket spacer is arranged in the water jacket. The technique also provides the following measures.</p>', '<p id=""p-0010"" num=""0009"">Specifically, according to the technique disclosed herein, the water jacket spacer is arranged to surround substantially an entire periphery of a portion of the cylinder liner which corresponds to the water jacket, an opening through which the coolant introduced from the coolant-introducing section is introduced to an inner side of the water jacket spacer is formed in a portion of the water jacket spacer which corresponds to the coolant-introducing section, an upper section of the water jacket spacer is positioned close to the cylinder block outer peripheral wall, a coolant passage through which the coolant introduced from the opening is circulated around an outer periphery of an upper portion of the cylinder liner is formed between the upper section of the water jacket spacer and the outer periphery of the upper portion of the cylinder liner, and a lower section of the water jacket spacer is positioned close to the cylinder liner.</p>', '<p id=""p-0011"" num=""0010"">With this configuration, since the coolant passage is formed between the upper section of the water jacket spacer and the outer periphery of the upper portion of the cylinder liner, the coolant flowing through the coolant passage is not allowed to come into contact with the cylinder block outer peripheral wall. Further, since the upper section of the water jacket spacer is positioned close to the cylinder block outer peripheral wall, the coolant flowing through the coolant passage is thermally insulated by the water jacket spacer. These features may hinder the heat of the cylinder liner from dissipated to the cylinder block outer peripheral wall via the coolant flowing through the coolant passage. In addition, the lower section of the water jacket spacer is positioned close to a lower portion of the cylinder liner, and the lower portion of the cylinder liner is thermally insulated by the water jacket spacer, which may hinder the lower portion of the cylinder liner from being cooled. Thus, the cylinder liner may be heated within a short time, and uniform temperature distribution may be achieved. As a result, the sliding resistance of pistons may be reduced, and fuel efficiency may be improved. Furthermore, the upper portion of the cylinder liner may be reliably cooled. Moreover, since the coolant flows only through substantially the upper portion of the water jacket, the amount of the coolant may be reduced, and load on a water pump which sends the coolant to the water jacket may be reduced. As a result, the warm-up of the engine may be facilitated.</p>', '<p id=""p-0012"" num=""0011"">The coolant passage is beneficially formed by spacing the upper section of the water jacket spacer from the outer periphery of the upper portion of the cylinder liner.</p>', '<p id=""p-0013"" num=""0012"">With this configuration, since the coolant passage is formed by spacing the upper section of the water jacket from the outer periphery of the upper portion of the cylinder liner, the coolant passage may be formed without changing the shape of the outer periphery of the upper portion of the cylinder liner.</p>', '<p id=""p-0014"" num=""0013"">It is beneficial that: the engine be configured as a multi-cylinder engine including a plurality of cylinders; the cylinder liner comprise a plurality of cylinder liners; the water jacket surround the cylinders each provided in an associated one of the cylinders; the water jacket spacer be made of resin and surround the cylinder liners; and seal members be provided between inter-cylinder bore walls of the cylinder block and portions of the water jacket spacer which correspond to the inter-cylinder bore walls.</p>', '<p id=""p-0015"" num=""0014"">With this configuration, while the water jacket spacer of resin is molded, taking into consideration manufacturing errors and mountability, such that large gaps are provided between the spacer and the inter-cylinder bore walls, the seal members are provided in these gaps. This may hinder the coolant flowing through the coolant passage from leaking outside from the coolant passage via the gaps.</p>', '<p id=""p-0016"" num=""0015"">The opening is beneficially formed in an end portion of the water jacket spacer in a direction in which the cylinders are aligned; and the coolant passage is beneficially formed such that the coolant introduced from the opening is circulated from an exhaust side portion of the coolant passage to an intake side portion of the coolant passage.</p>', '<p id=""p-0017"" num=""0016"">With this configuration, since the coolant is circulated from the exhaust side portion having a relatively high temperature, the cylinder liner of each cylinder may be appropriately cooled.</p>', '<p id=""p-0018"" num=""0017"">In a cylinder head which constitutes the engine together with the cylinder block, a cylinder head water jacket through which the coolant from the water jacket of the cylinder block flows is beneficially formed. A coolant-discharging section through which the coolant that has been circulated through the coolant passage is discharged to the cylinder head water jacket is beneficially formed in an end portion of the water jacket spacer in the direction in which the cylinders are aligned. A coolant-restricting section which restricts a flow of the coolant that has been introduced from the opening is beneficially formed between the coolant-discharging section and the opening in the water jacket spacer.</p>', '<p id=""p-0019"" num=""0018"">With this configuration, the coolant that has been introduced from the coolant-introducing section enters the coolant passage through the opening, and flows to the exhaust side portion and the intake side portion of the coolant passage. The portion of the coolant flowing to the intake side portion is restricted by the coolant-restricting section. Specifically, the coolant that flows from the opening to the cylinder head water jacket through the coolant-discharging section is restricted by the coolant-restricting section. Therefore, the major portion of the coolant that has flowed through the opening into the coolant passage may be made to flow through the exhaust side portion of the coolant passage and may be reliably circulated through the coolant passage. Then, the coolant may be reliably made to flow into the cylinder head water jacket.</p>', '<p id=""h-0008"" num=""0000"">Advantages of the Invention</p>', '<p id=""p-0020"" num=""0019"">According to the technique disclosed therein, heat dissipation to the cylinder block outer peripheral wall may be reduced, fast and uniform heating of the cylinder liner may be achieved, and the upper portion of the cylinder liner may be reliably cooled.</p>']"
75,US10202980B2,Centrifugal compressor apparatus and method for preventing surge therein,utility,"['<p id=""h-0007"" num=""0000"">a. Relationship Between Surge Prevention Control and Energy Saving</p>', '<p id=""p-0016"" num=""0015"">In the related art, there has been generally used a method that uses an estimated performance curve or a measured surge line of a centrifugal compressor. The method forms a surge prevention line so that an operating point of a compressor does not exceed the surge prevention line when a flow rate is reduced, and promptly performs blow-off control or bypass control when the operating point of the compressor exceeds the surge prevention line, so as to prevent the compressor from being in a surging state.</p>', '<p id=""p-0017"" num=""0016"">However, since there is a case in which the characteristics of the compressor are changed due to operating environment or with time, an actual surge line is probably different from an estimated performance curve. For this reason, in the related art, it has been general that a test (surge test) intentionally causing surging is performed on the spot, and with respect to an actually measured surge line, a surge margin of about 10 to 15% is given on the larger flow rate side.</p>', '<p id=""p-0018"" num=""0017"">For this reason, since the capacity control range of the centrifugal compressor is reduced by the surge margin in the related art, there is a problem in that energy loss occurs at the time of a reduced flow rate operation with a small capacity (flow rate).</p>', '<p id=""h-0008"" num=""0000"">b. Means for Detecting Surging</p>', '<p id=""p-0019"" num=""0018"">It is known that the compressor does not work as a compressor when the compressor is in a surging state so that shaft power and the flow rate of the compressor is significantly reduced from the last operating state.</p>', '<p id=""p-0020"" num=""0019"">According to a method proposed so far as means for detecting this state, a surging state is determined by comparing a flow rate, the drive current of an electric motor for the compressor related with the flow rate, or a state quantity such as drive electric power or discharge pressure, with a preset value.</p>', '<p id=""p-0021"" num=""0020"">When pressure change is used, pressure is an integrated value of the flow rate of fluid flowing into and out of a pressure vessel. Accordingly, the monitoring of fluctuation in pressure is performed by the measurement of a flow rate, usually leading to a delay control system. There is a characteristic that the change in the pressure is inversely proportional to the size of the pressure vessel and is proportional to the flow rate. It is easy to use a pressure change, but the monitoring of a surging state is equivalent to the recording of the fluctuation in the flow rate of the compressor. Differential processing is needed twice in order to extract a small pressure amplitude signal at the time of the occurrence of surging, in a pressure measurement range. Accordingly, since a complicated digital signal processing technique is needed to appropriately detect a surging state, there is a problem in that the cost of the apparatus for detecting surging is increased.</p>', '<p id=""p-0022"" num=""0021"">When the change in a flow rate is used, differentiation of a flow rate is needed once. Accordingly, signal processing is easy as compared to when pressure is used. However, in contrast, there are also problems in that a lot of noise components (fluctuation) are included in the measurement result of a flow rate, it is difficult to remove the noise components, and the number of measurement points is increased when means for measuring a flow rate is provided, causing the increase in cost.</p>', '<p id=""p-0023"" num=""0022"">The drive current of the electric motor tends to be proportional to a flow rate in a narrow range under the condition of constant discharge pressure, the drive current can be used as alternative means for measuring a flow rate. However, the fluctuation in the drive current is large like a flow rate, and there is a possibility that malfunction occurs or surging cannot be detected if a threshold is not appropriately set.</p>', '<p id=""h-0009"" num=""0000"">c. Means for Deciding Surge Prevention Line</p>', '<p id=""p-0024"" num=""0023"">It is general that a surge line of the compressor is input (set) in advance according to the characteristics of the compressor.</p>', '<p id=""p-0025"" num=""0024"">However, when the characteristics of the compressor are changed due to operating environment or with time, a state of the compressor may unexpectedly leads to surging. In this case, it is difficult to continue to subsequently operate the compressor.</p>', '<p id=""h-0010"" num=""0000"">d. Surge Prevention Control Means</p>', '<p id=""p-0026"" num=""0025"">It is general that control for preventing the surging of a compressor is performed using a flow rate and discharge pressure or a pressure ratio.</p>', '<p id=""p-0027"" num=""0026"">However, since a plurality of measuring instruments is needed to measure a flow rate, cost is increased. For this reason, there is a case in which the drive current of the electric motor is used as alternative means. This is based on a fact that discharge pressure is constant and a flow rate is substantially proportional to the drive current of the electric motor near a surge prevention line.</p>', '<p id=""p-0028"" num=""0027"">However, there is a problem in that the drive current of the electric motor and a discharge flow rate have errors according to operating conditions. Further, regarding discharge pressure, since a surge line is changed when suction pressure is changed, it is preferable that a pressure ratio be used.</p>', '<p id=""p-0029"" num=""0028"">In the above-mentioned PTLs 1 to 6, a surge line or a surge prevention line is set in advance as a limit in which a surging state occurs, and a state is controlled on the basis of a pressure ratio, a change rate of a pressure ratio, a change rate of power, differential pressure, a flow rate, and the like so as not to exceed the surge line.</p>', '<p id=""p-0030"" num=""0029"">In PTLs 7 to 9, surging is detected on the basis of fluctuation in drive current, pressure, a flow rate, the speed of fluid, and the like.</p>', '<p id=""p-0031"" num=""0030"">As described above, when a surge prevention line is set in advance, with respect to an actually measured surge line, a margin (surge margin) of about 10 to 15% is conventionally given. For this reason, there is a problem in that a capacity control range of the centrifugal compressor becomes narrow by that margin.</p>']"
76,US10202986B2,Hydraulic drive system,utility,"['<p id=""p-0006"" num=""0005"">The work vehicle is required to obtain a steering performance with a high responsivity. With the above-described configuration, the hydraulic oil is flowed by the hydraulic pump preferentially to the steering actuator, to improve the responsivity. However, when the responsivity to the operation of the steering handle is high, the steering control valve moves quickly. Therefore, in the case of high-speed traveling, it is difficult to perform fine adjustment for straight traveling. For this reason, it is likely that the work vehicle cannot travel straight (in a straight line) well. As should be understood, if the responsivity to the operation of the steering handle during an actual work is applied to the responsivity to the operation of the steering handle during the high-speed traveling, without compensating (modifying) it, it is likely that the work vehicle cannot travel straight well. On the other hand, in a state in which the temperature of the hydraulic oil is low, the viscosity of the hydraulic oil increases, and the responsivity to the operation of the steering handle is lowered. In this situation, it is undesirable that the responsivity to the operation of the steering handle is lowered even during the high-speed traveling.</p>', '<p id=""p-0007"" num=""0006"">In view of the above, an object of the present invention is to provide a hydraulic drive system which can change the responsivity of a steering actuator to the operation amount of a steering device, depending on a vehicle state.</p>']"
77,US10203071B2,Reflection type fluorescence light source apparatus,utility,"['<p id=""p-0006"" num=""0005"">However, the fluorescence light source apparatus including the reflection layer provided on the fluorescent plate causes a problem that the reflection layer exfoliates from the fluorescent plate due to weak adhesion of the reflection layer, and the reflectance of the reflection layer drops due to surface deterioration by oxidation, sulfuration and the like.</p>', '<p id=""p-0007"" num=""0006"">The exfoliation of the reflection layer from the fluorescent plate occurs particularly when the reflection layer is made of silver (Ag) or a silver alloy consisting mainly of silver (Ag).</p>', '<p id=""p-0008"" num=""0007"">The present invention has been made in view of the foregoing circumstances and has as its object the provision of a fluorescence light source apparatus that is prevented from a drop in reflectance and can provide high emission efficiency over a long period of time without causing the problem of exfoliation of the reflection layer from the fluorescent plate.</p>']"
78,US10203078B2,Daylighting structure,utility,"['<p id=""p-0011"" num=""0010"">In the conventional daylighting structure described above, the spring-time, autumn-time, and winter-time incident sunlight are advanced to the indoor upward space region only by a light reflection effect and a light refraction effect in plain surface parts of the light shelf and the prism surface materials.</p>', '<p id=""p-0012"" num=""0011"">Thus, the refracted and emitted light advancing from the prism surface materials to the indoor upward space region is a so-called bundle of parallel lights. Therefore, there is a problem that a person in the indoor cannot expect a feeling of diffusion of the refracted and emitted light to the ceiling surface direction and the indoor depth direction.</p>', '<p id=""p-0013"" num=""0012"">The present invention has an object to diffuse the emitted light to the indoor by configuring so that the incident light is refracted and incident in a focused form from the outdoor region curved surface of the light-transmitting material and an internally reflected light in a lower side reflection surface thereof is refracted and emitted in a diffused form from the indoor region curved surface of the light-transmitting material to the indoor ceiling surface and the indoor deep portion.</p>', '<p id=""p-0014"" num=""0013"">The present invention also has an object to reliably and efficiently diffuse the emitted light to the indoor by setting the lower side reflection surface and the like to be mirror surfaces and preventing the refracted incident light in the outdoor region curved surface from, in a sense, exiting downward from the lower side reflection surface.</p>', '<p id=""p-0015"" num=""0014"">The present invention also has an object to make use modes as the daylighting structure selectable and diversified by configuring so that the light-transmitting material is rotated and held around the longitudinal axis thereof and a diffused and emitted light area toward the ceiling surface side of the indoor space region can appropriately shift to a depth direction.</p>']"
79,US10203089B2,"Light flux controlling member, light emitting device and method for manufacturing light flux controlling member",utility,"['<p id=""p-0007"" num=""0007"">Since lenses (light flux controlling members) described in PTL 1 are manufactured by dicing of lens array sheet <b>1</b>, the lenses may have a burr formed at a cut part in resin substrate <b>3</b>. When the bottom surface of lens body <b>4</b> and the bottom surface in the vicinity of the cut part are at the same height as illustrated in <figref idref=""DRAWINGS"">FIG. 1</figref>, the burr may protrude below the bottom surface of lens body <b>4</b>. In such a case, during mounting of a light flux controlling member on a substrate having a light emitting element mounted thereon, with bottom surface of lens body <b>4</b> and the bottom surface in the vicinity of the cut part as an installation surface, the light flux controlling member may be installed in a tilted state due to the burr. As a result, light distribution properties of the light flux controlling member may be lowered.</p>', '<p id=""p-0008"" num=""0008"">An object of the present invention is to provide a light flux controlling member, even with a burr being formed during manufacturing of the same, which is free from positional displacement due to the burr during mounting, and a method for manufacturing the light flux controlling member. Another object of the present invention is to provide a light emitting device including the light flux controlling member.</p>']"
80,US10203093B2,"Phosphor wheel, light source unit, and image display device",utility,"['<p id=""p-0009"" num=""0008"">However, in Patent Literature 1 described above, the motor is supported by the mounting plate in a cantilevered state, and therefore vibration of the motor is easily transmitted to the optical unit and the like. Further, it is difficult to apply a technique disclosed in Patent Literature 2 described above to a color wheel, a phosphor wheel, or the like.</p>', '<p id=""p-0010"" num=""0009"">In view of this, the present disclosure proposes a phosphor wheel, a light source unit, and an image display device, each of which is new, is improved, and is capable of restraining vibration caused by a driving unit for rotatably driving a wheel and reducing noise in a high frequency band.</p>']"
81,US10203122B2,Air-conditioning and ventilation apparatus,utility,"['<p id=""p-0011"" num=""0014"">When temperature and humidity control is to be executed without performing ventilation with outdoor air, as disclosed in Patent Literatures 3, 4, and 5, known is a control method of performing a dehumidification operation by comparing the indoor temperature with the target temperature or by comparing the indoor humidity with the target humidity; or known is a control method of regulating the indoor temperature and the indoor humidity to a target value on the basis of the detected room temperature and indoor humidity. However, in the inventions disclosed in Patent Literatures 3, 4, and 5, the control is not the control to perform the dehumidifying operation by the air-conditioning coil, while performing heat exchange and ventilation between indoor and outdoor supply/exhaust air flows. Therefore, these inventions cannot be applied to the air-conditioning and ventilation apparatus.</p>', '<p id=""p-0012"" num=""0015"">Furthermore, as conventional control of an air-conditioning and ventilation apparatus that performs heating/humidification or dehumidification of heat-exchanged supply air by an air-conditioning coil, while performing heat exchange between indoor and outdoor air supply/exhaust flows as disclosed in Patent Literature 2, and when the heat-exchanged supply air is heated by the air-conditioning coil and humidified by a humidifier, the heating capacity of the air-conditioning coil is controlled on the basis of an outdoor-air temperature and humidity map such that the absolute humidity of air expelled from the air-conditioning and ventilation apparatus becomes equal to or higher than the preset indoor target absolute humidity, in order to satisfy the necessary amount of humidification obtained by adding the safety factor to the absolute humidity difference between indoor air and outdoor air. However, in Patent Literature 2, there is no disclosure about a unit that controls cooling capacity of the air-conditioning coil depending on the outdoor air temperature and humidity, when the cooling operation of the ventilation and air-conditioning apparatus is performed.</p>', '<p id=""p-0013"" num=""0016"">As the conventional technique when the dehumidifying operation is performed by the air-conditioning coil, while performing heat exchange and ventilation between indoor and outdoor air supply/exhaust flows, as disclosed in Patent Literature 1, such a control is know that the outdoor temperature is compared with the target temperature, and when the outdoor temperature is equal to or higher than the target temperature, the dehumidifying operation is performed, and when the outdoor temperature is lower than the target temperature, the humidifying function is performed.</p>', '<p id=""p-0014"" num=""0017"">In the control disclosed in Patent Literature 1, there has been a problem in that, when the indoor temperature is low and the outdoor temperature is lower than the preset reference temperature, for example if the outdoor temperature is low and the air contains high humidity, then the air-conditioning coil does not perform the dehumidifying operation, and the indoor humidity is increased more than necessary by the air heat-exchanged between the supply air and the exhaust air.</p>', '<p id=""p-0015"" num=""0018"">As the known control in an air-conditioning and ventilation apparatus that dehumidifies the heat-exchanged supply air by the air-conditioning coil, while performing heat exchange and ventilation between indoor and outdoor air supply/exhaust flows, when the outdoor temperature is in a range in which the dehumidifying operation can be performed irrespective of the outdoor humidity, the cooling capacity of the air-conditioning coil is always fixed to 100% or lower, and the target cooling capacity of the air-conditioning coil is determined on the basis of a temperature difference between the preset target temperature and a calculated value so as to execute the dehumidifying operation control. On/off determination of a thermostat of the air-conditioning coil is performed by using only the outdoor temperature and without using the outdoor humidity. The target temperature set by a remote controller is compared with inlet temperature of the air-conditioning coil. When the inlet temperature of the air-conditioning coil is lower than the target temperature, the cooling operation is not performed by the air-conditioning coil, and the air heat-exchanged by the heat exchanger is directly supplied into the room.</p>', '<p id=""p-0016"" num=""0019"">For example, when the indoor temperature and humidity are 26° C. and 50% respectively and the outdoor air temperature and humidity are 22° C. and 70% respectively, that is, when the temperature is 26° C. and the absolute humidity is 0.0105 kg/kg (DA) in the room, and the temperature is 22° C. and the absolute humidity is 0.0116 kg/kg (DA) outdoors; if it is assumed that the temperature exchange efficiency of the heat exchanger is 70% and the humidity exchange efficiency thereof is 73%, the heat-exchanged air becomes 24.8° C. and the absolute humidity becomes 0.0108 kg/kg (DA).</p>', '<p id=""p-0017"" num=""0020"">In this case, the absolute humidity after heat exchange is higher than the indoor absolute humidity, and if ventilation by simultaneous air supply and exhaust is continued, the indoor absolute humidity increases. Thus, user\'s discomfort is likely to occur; the cooling load of other air conditioners installed in the room is increased; and thus the energy-saving operation may not be performed by the entire air-conditioning system.</p>', '<p id=""p-0018"" num=""0021"">In this manner, when the heat-exchanged supply air is to be dehumidified by the air-conditioning coil, while performing heat exchange and ventilation between indoor and outdoor air supply/exhaust flows, if the air-conditioning coil is controlled only on the basis of the outdoor air temperature, the indoor humidity cannot be maintained in a comfortable range.</p>', '<p id=""p-0019"" num=""0022"">The present invention has been achieved in view of the above problems, and an objective of the present invention is to provide an air-conditioning and ventilation apparatus that operates an air-conditioning coil with a cooling capacity value at which the absolute humidity of air supplied into a room becomes equal to or lower than target absolute humidity set beforehand on the basis of outdoor air temperature and outdoor air humidity.</p>']"
82,US10203136B2,Air conditioning system and method for controlling same,utility,"['<p id=""p-0006"" num=""0005"">However, because individual controls are performed on the plurality of indoor units individually, there are cases in which conditions arise such that, due to the operating state, among the plurality of indoor units there are both those that are thermo-ON and those that are thermo-OFF. In such cases, there are times when the operating efficiency of the system has a whole could still be improved even though the operating efficiencies of the individual indoor units is high.</p>', '<p id=""p-0007"" num=""0006"">An object of the present invention is for an air conditioning system in which a plurality of indoor units are disposed in the same indoor space to be made more efficient over the entire air conditioning system.</p>']"
83,US10203139B2,Cooling device,utility,"['<p id=""p-0007"" num=""0006"">The present invention is directed to providing a cooling device capable of precisely controlling the temperature of a cooling chamber with an excellent response depending on a cooling chamber load or a change in the cooling chamber load.</p>']"
84,US10203152B2,Refrigerator,utility,"['<p id=""p-0012"" num=""0011"">An object of the present invention is to provide a refrigerator configured such that a withdrawal mechanism interlocked with a door for automatically withdrawing a drawer (i.e. moving the drawer forward) is provided and such that drawer guides serve to support the load of the drawer while the withdrawal mechanism serves to move the drawer, which is supported by the drawer guides, without the load of the drawer being applied to the withdrawal mechanism. In particular, another object of the present invention is to provide a refrigerator configured such that, even in the case in which a plurality of drawers is disposed in a storage compartment, the load of each drawer is individually supported by drawer guides provided for each drawer and such that the withdrawal mechanism is configured to simultaneously withdraw the drawers but not to support the load of each drawer, i.e. is configured as a non-load bearing element, and such that the withdrawal mechanism is not easily deformed by reaction force from each drawer.</p>', '<p id=""p-0013"" num=""0012"">Another object of the present invention is to provide a refrigerator configured such that the door is automatically returned to the original position thereof by the withdrawal mechanism when the door is closed.</p>', '<p id=""p-0014"" num=""0013"">A further object of the present invention is to provide a refrigerator configured such that the withdrawal mechanism is securely supported without shaking during the movement thereof.</p>']"
85,US10203153B2,Refrigerator,utility,"['<p id=""p-0006"" num=""0005"">It is an aspect of the present disclosure to provide a refrigerator including an illumination unit that improves brightness perception in the storage compartment and enables stored articles in the storage compartment to be easily seen.</p>']"
