,publication_number,patent_title,appl_type,positive_text
50,US10174183B2,"Organic binder, granular material, three-dimensional lamination-shaped mold manufacturing apparatus, and three-dimensional lamination-shaped mold manufacturing method",utility,"['<p id=""p-0030"" num=""0029"">According to the present invention, in the manufacture of a three-dimensional lamination-shaped mold, it is possible to well perform recoating regardless of the type of granular material, and use a refractory aggregate in an unprinted portion without any regeneration process.</p>']"
51,US10174190B2,"Composite particles, method for producing composite particles, and use thereof",utility,"['<p id=""p-0029"" num=""0028"">The present invention can provide a method for producing particles by suspension polymerization which ensures an excellent dispersion stability of the monomer and a simpler washing step, composite particles obtainable by this production method, and use of the composite particles.</p>']"
52,US10174191B2,Resin material and film thereof,utility,"['<p id=""p-0092"" num=""0091"">The resin material of the present invention can provide a molded body having high transparency, few foreign matter defects, high heat stability, high solvent resistance, excellent surface appearance, and excellent mechanical strength.</p>']"
53,US10174195B2,Reinforced thermoplastic resin composition and molded article,utility,"['<p id=""p-0030"" num=""0032"">The reinforced thermoplastic resin composition of the present invention has good moldability and can enhance the weld strength, the rigidity, the impact resistance, the mechanical strength, and the heat resistance of the molded article obtained by molding the resin composition.</p>', '<p id=""p-0031"" num=""0033"">The molded article of the present invention has high weld strength, rigidity, impact resistance, mechanical strength, and heat resistance.</p>']"
54,US10174215B2,"Ink, ink cartridge, inkjet recording apparatus, printed matter, photopolymerizable compound, photocurable composition, three-dimensional object formation material, and three-dimensional object",utility,"['<p id=""p-0014"" num=""0016"">The present invention can provide an ink that uses a photopolymerizable compound having a lower viscosity and less odor than conventional ones, and is excellent in photopolymerizability and photocurability.</p>']"
55,US10174220B2,Coated film,utility,"['<p id=""p-0019"" num=""0018"">In accordance with the present invention, it is possible to provide a coated film having a high surface hardness and good adhesion properties to a polyester film. Therefore, the present invention has a high utility value from industrial viewpoints.</p>']"
56,US10174225B2,Adhesive composition,utility,"['<p id=""p-0010"" num=""0009"">According to the present invention, the addition of the nucleophilic compound containing a sulfur atom having an unshared electron pair can improve the stability of the aluminum chelate/silanol-based curing catalyst and delay the curing reaction, thereby enabling to achieve the excellent life performance and the wide margin for mounting.</p>']"
57,US10174226B2,Adhesive composition and semiconductor device using same,utility,"['<p id=""p-0020"" num=""0024"">According to the invention it is possible to provide an adhesive composition having sufficiently high adhesive force even when applied for mounting of a semiconductor element with an adherend surface formed of gold, as well as a semiconductor device using it.</p>']"
58,US10174230B2,"Block copolymer composition, adhesive composition, and adhesive sheet",utility,"['<p id=""p-0023"" num=""0022"">The aspects of the invention thus provide a pressure-sensitive adhesive composition that exhibits excellent initial adhesion at a low temperature and excellent holding power at a high temperature, and exhibits excellent pressure-sensitive adhesive performance and an excellent die-cutting capability when used for a pressure-sensitive adhesive label, and a block copolymer composition that is used to produce the pressure-sensitive adhesive composition.</p>']"
59,US10174252B2,Liquid crystal composition and liquid crystal display device,utility,"['<p id=""p-0016"" num=""0015"">One of the advantages of the invention is a liquid crystal composition satisfying at least one of characteristics such as a high maximum temperature of a nematic phase, a low minimum temperature of the nematic phase, a small viscosity, a suitable optical anisotropy, a large negative dielectric anisotropy, a large specific resistance, a high stability to ultraviolet light and a high stability to heat. Another advantage is a liquid crystal composition having a suitable balance regarding at least two of the characteristics. Another advantage is a liquid crystal display device including such a composition. Another advantage is an AM device having characteristics such as a short response time, a large voltage holding ratio, a low threshold voltage, a large contrast ratio and a long service life.</p>']"
60,US10174253B2,Liquid crystal composition and liquid crystal display device,utility,"['<p id=""p-0015"" num=""0014"">An advantage of the invention is a liquid crystal composition satisfying at least one of characteristics such as a high maximum temperature of a nematic phase, a low minimum temperature of the nematic phase, a small viscosity, a suitable optical anisotropy, a large dielectric anisotropy, a large specific resistance, a high stability to ultraviolet light, a high stability to heat and a large elastic constant. Another advantage is a liquid crystal composition having a suitable balance regarding at least two of the characteristics. Another advantage is a liquid crystal display device including such a composition. Another advantage is an AM device having characteristics such as a short response time, a large voltage holding ratio, a low threshold voltage, a large contrast ratio and a long service life.</p>']"
61,US10174254B2,Nematic liquid crystal composition and liquid crystal display element using the same,utility,"['<p id=""p-0023"" num=""0022"">Because the liquid crystal composition of the present invention enables obtainment of significantly low viscosity or rotational viscosity, has high specific resistance or voltage holding ratio due to good solubility at low temperature, and exhibits an extremely small change caused by heat or light, the practicability of the product is high and the liquid crystal display element of the TN type or the IPS type using the same can achieve the high-speed response performance. In addition, display defects like drop mark or line afterimage are suppressed, and therefore it has very high usefulness.</p>']"
62,US10174281B2,Biomass treatment system,utility,"['<p id=""p-0022"" num=""0021"">According to the present invention, a biomass slurry is settled in a settling tank, and the settled biomass solid undergoes solid-liquid separation by a scooping-up and conveying means, for example, a screw conveyor, thereby removing water and making it into a concentrated biomass slurry. Furthermore, the present invention exhibits the effect of being able to remove water as well as reduce the content of reaction-inhibitor substances when the biomass slurry contains reaction-inhibitor substances.</p>']"
63,US10174284B2,"Medium, for culturing corneal endothelial cells, containing conditioned medium from mesenchymal stem cells",utility,"['<p id=""p-0017"" num=""0046"">The present invention enables stable supply of corneal endothelial cells having a constant quality and transplantable to a patient with corneal endothelial dysfunction, thus solving donor shortage for corneal transplantation.</p>']"
64,US10174304B2,Expression vector and method for producing protein,utility,"['<p id=""p-0019"" num=""0018"">According to the expression vector of the present invention, it is possible to provide a transformant which can produce a protein by secretion from the host cell.</p>', '<p id=""p-0020"" num=""0019"">Further, according to the method for producing a protein of the present invention which uses the transformant, it is possible to secrete proteins efficiently.</p>', '<p id=""p-0021"" num=""0020"">In a case where the protein secreted from the transformant is a protein to be recovered (i.e. protein (Z)), it is possible to recover the protein (Z) from a culture broth. Further, in a case where the secreted protein is a fusion protein, the protein (Z) can be produced from the fusion protein.</p>']"
65,US10174333B2,"Fused gene, vector, transgenic plant, method for manufacturing vegetable fat or oil, method for constructing transgenic plant, and kit for constructing transgenic plant",utility,"['<p id=""p-0034"" num=""0033"">According to the present invention, it is possible to provide a transgenic plant which makes it possible to more efficiently manufacture vegetable fat or oil compared to the plants known in the related art that are cultivated in a phosphorus-deficient state or suffer from phosphorus deficiency, and to provide a more efficient method for manufacturing fat or oil.</p>']"
66,US10174355B2,Method for glycosylation of ginsenoside using a glycosyltransferase derived from panax ginseng,utility,"['<p id=""p-0018"" num=""0017"">Since the UDP glycosyltransferase of the present invention is a protein having an activity of selectively transferring a sugar to a hydroxyl group at the C-20 position of a PPD- or PPT-type ginsenoside, it may be usefully used for large-scale production of a ginsenoside having a sugar at the C-20 position, such as C—K, F2, Rd, and F1.</p>', '<p id=""p-0019"" num=""0018"">Additionally, in the present invention, the expression vector, and the transformed cell including the expression vector may be usefully used for large-scale production of particular ginsenosides by de novo synthesis of ginsenoside C—K (amount of novel synthesis; 4.5 mg/L), F1, F2, or Rd having a sugar at C-20 position.</p>']"
67,US10174357B2,Method and kit for quantifying cardiolipin,utility,"['<p id=""p-0020"" num=""0033"">The method and kit for quantifying cardiolipin of the present invention can quantify cardiolipin with high sensitivity and high accuracy.</p>', '<p id=""p-0021"" num=""0034"">The detection limit of the present invention is 10 pmol, which is extremely highly sensitive compared to conventional CL quantification methods. This enables highly accurate quantification.</p>', '<p id=""p-0022"" num=""0035"">Further, the main necessary procedures of the present invention are pipetting of samples and reaction solutions into a microplate, and it is very simple. This enables high-throughput quantification.</p>']"
68,US10174394B2,Steel for blades and method for producing the same,utility,"['<p id=""p-0014"" num=""0013"">According to the present invention, an excellent quenchability can be implemented because the carbide concentration in a ferrite structure of steel for blades can be improved.</p>']"
69,US10174413B2,Al-based alloy plated steel material having excellent post-coating corrosion resistance,utility,"['<p id=""p-0018"" num=""0017"">As described above, according to the Al-based alloy plated steel material of the present invention, it has sacrificial corrosion resistance, and its post-coating corrosion resistance can be far more improved than that of conventional Al-plated steel materials. Accordingly, it is applicable to home electric appliances, automobiles, construction materials, and further large structures such as infrastructure facilities, and thus its industrial contribution is very large.</p>']"
70,US10174426B2,"Coated metal sheet, method for manufacturing same, and exterior building material",utility,"['<p id=""p-0018"" num=""0031"">The present invention prevents exposure, cracking and the like of the gloss adjusting agent at the intended age of service. As a result, there is provided a coated metal sheet that has intended designability having an adjusted gloss as well as, even being chromate-free, has excellent flat-portion corrosion resistance equivalent to or greater than that of coated metal sheets comprising a chromate anti-rust treated metal sheet.</p>']"
71,US10174434B2,Plating solution using phosphonium salt,utility,"['<p id=""p-0018"" num=""0017"">According to the plating solution of the first aspect of the present invention, by using the phosphonium salt as the additive, the uniform electrodepositivity can be improved in the wide current density range; occurrence of the void in formation of the bump electrode can be suppressed; and a plating film, which has a good appearance and is highly reliable, can be formed. As a result, products, which are applicable to a narrow pitch and a complicated wiring pattern at a high quality, can be produced.</p>', '<p id=""p-0019"" num=""0018"">According to the plating solution of the second aspect of the present invention, by further including the nonionic surfactant represented by the above-indicated formula (2), occurrence of the void in formation of the bump electrode can be suppressed; and the variation in the thickness of the plating film can be reduced further.</p>', '<p id=""p-0020"" num=""0019"">According to the plating solution according to the third aspect of the present invention, by further including the complexing agent and the antioxidant; or one of the complexing agent and the antioxidant, the technical effect explained below can be obtained. That is, the complexing agent: stabilizes the noble metal ions in the bath by the plating solution including noble metal such as silver and the like; and homogenizes the composition of the precipitated alloy. In addition, the antioxidant prevents oxidation of the soluble stannous salt to tin dioxide salt.</p>']"
72,US10174446B2,"Polyolefin-based antistatic fiber, being a single component or a conjugate type fiber, and nonwoven fabric including the same",utility,"['<p id=""p-0030"" num=""0037"">An antistatic nonwoven fabric obtained from an antistatic fiber of the invention and a formed body constituted thereof are characterized by having an excellent antistaticity and generating only a small amount of volatile organic compounds. Moreover, because the spinnability of the fiber constituting the nonwoven fabric is excellent, a uniform and thin fiber is obtained and a thin and strong nonwoven fabric is obtained. Therefore, the nonwoven fabric of the invention and the formed body constituted thereof can be used suitably for transporting glass plates for liquid crystal panels and electronic components that deteriorated by deposition of dirt and dust without taking up much space. As for the fiber of the invention and the nonwoven fabric obtained using the fiber, spinnability is satisfactory, in addition to reduction of generation of the volatile organic compounds due to selection of a suitable material. Therefore, the fiber is not required to be spun at a high temperature at which an added high molecular antistatic agent is decomposed. Thus, reduction of surface fouling on textiles obtained and spinning and processing at a low temperature are allowed. Then, combined with another effect that a risk such as generation of a decomposition product due to decomposition of additives such as the high molecular antistatic agent is eliminated, achievement of an unprecedented low VOC value, and provision and stable production of a sheet maintaining the low VOC value are allowed.</p>', '<p id=""p-0031"" num=""0038"">According to the invention, moreover, strength and a surface resistance value of the fiber can be adjusted upon request particularly by processing the fiber into the sheath-core type (concentric sheath-core or eccentric sheath-core type) conjugate fiber, and the nonwoven fabric having an excellent versatility including performance and cost can be provided.</p>']"
73,US10174453B2,"Sizing agent, composition, and formed article",utility,"['<p id=""p-0028"" num=""0027"">The compositions according to the aspects of the invention can produce a formed article that exhibits excellent mechanical strength (e.g., impact resistance and flexural strength), and improve mass productivity by reducing a situation in which the surface of the formed article fuzzes during extrusion.</p>']"
74,US10174690B2,"Auxiliary-machine control device, control system, turbocharger, control method, and program",utility,"['<p id=""p-0020"" num=""0019"">According to the auxiliary-machine control device, the control system, the turbocharger, the control method, and the program described above, it is possible to utilize the performance of the turbocharger without impairing engine control performance.</p>']"
75,US10174700B2,Onboard control device,utility,"['<p id=""p-0009"" num=""0008"">According to the invention, the abnormalities of the drive source are determined from the rate of change in drive manipulation and the rate of change in the operating state, and thereby it is possible to quickly determine whether or not the propulsive force of the drive source of the vehicle is abnormal. Moreover, problems, configurations, and effects other than the above description will become apparent from the following description of embodiments.</p>']"
76,US10174720B2,Engine,utility,"['<p id=""p-0014"" num=""0013"">As the effects of the present invention, the following advantageous effects are provided.</p>', '<p id=""p-0015"" num=""0014"">According to one aspect of the present invention, the fuel is reformed to the lower hydrocarbon fuel, in which the knocking is unlikely to occur, through the use of characteristics of the EGR gas, and the fuel is mixed with the intake air, so that the fuel and the intake air are uniformly and leanly mixed. Accordingly, the occurrence of the knocking or the accidental fire is suppressed, which makes it possible to perform the operations of the premixed compression self-ignition.</p>', '<p id=""p-0016"" num=""0015"">According to another aspect of the present invention, the additional amount of heat is eliminated from the reforming fuel. Accordingly, the occurrence of the knocking or the accidental fire is suppressed, which makes it possible to perform the operations of the premixed compression self-ignition.</p>', '<p id=""p-0017"" num=""0016"">According to another aspect of the present invention, the EGR gas and the fuel are uniformly mixed in a period from the injection of the fuel to the start of the adiabatic compression, thereby efficiently reforming the fuel. Accordingly, the occurrence of the knocking or the accidental fire is suppressed, which makes it possible to perform the operations of the premixed compression self-ignition.</p>', '<p id=""p-0018"" num=""0017"">According to another aspect of the present invention, when the ignitability in the output cylinder is in a low state, the ignition is assisted. Accordingly, the occurrence of the knocking or the accidental fire is suppressed, which makes it possible to perform the operations of the premixed compression self-ignition.</p>', '<p id=""p-0019"" num=""0018"">According to another aspect of the present invention, the EGR gas and the fuel are uniformly mixed until the adiabatic compression is started, thereby efficiently reforming the fuel. Accordingly, the occurrence of the knocking or the accidental fire is suppressed, which makes it possible to perform the operations of the premixed compression self-ignition.</p>']"
77,US10174721B2,Canister,utility,"['<p id=""p-0014"" num=""0013"">According to the first aspect of the present invention in the present application, the flow dividing plate including the plurality of communicating holes is provided at the side, close to the atmosphere release port, of the second adsorbent in the second chamber, and when the canister is mounted on the vehicle, the area of the communicating holes per unit area on the surface of the flow dividing plate is larger at the lower side of the flow dividing plate than at the upper side of the flow dividing plate. Therefore, ventilation resistance is relatively lower at the lower side of the second chamber than at the upper side of the second chamber. On this account, the evaporated fuel adsorbed by the second adsorbent accommodated in the second chamber is more easily desorbed at the lower side during the purge, and the amount of evaporated fuel remaining is smaller at the lower side. To be specific, the fuel component concentration in the second adsorbent is lower at the lower side by the purge. It should be noted that the wording “the passage is configured to extend substantially horizontally” in the first aspect of the present invention includes, for example, a case where a tilt angle of a tube axis of the passage with respect to a horizontal plane is between −30° and +30°.</p>', '<p id=""p-0015"" num=""0014"">With this, even when the fuel components adsorbed by the upper side of the second adsorbent move to the lower side by gravity during the stop of the engine, the lower side of the second adsorbent has an enough adsorption capacity, so that the fuel components moving toward the lower side can be adsorbed by the lower side of the second adsorbent. Therefore, as compared to conventional cases, it is possible to delay the start of the advancement of the fuel components in the second adsorbent toward the atmosphere release port. With this, a time from when the engine stops until when the fuel components reach the end portion, close to the atmosphere release port, of the adsorbent is increased. Therefore, the release of the fuel components to the atmosphere is suppressed.</p>', '<p id=""p-0016"" num=""0015"">According to the second aspect of the present invention in the present application, the air layer is provided between the flow dividing plate and the end portion, close to the atmosphere release port, of the second adsorbent. With this, even when the flow dividing plate is provided, the deterioration of the use efficiency of the second adsorbent can be suppressed. To be specific, if the air layer is not provided between the flow dividing plate and the end portion, close to the atmosphere release port, of the second adsorbent, the air flowing from the atmosphere release port does not adequately flow into the second adsorbent contacting portions other than the communicating holes of the flow dividing plate. As a result, there is a possibility that the use efficiency of the second adsorbent deteriorates. However, according to the present invention, the air layer is provided between the flow dividing plate and the end portion, close to the atmosphere release port, of the second adsorbent. Therefore, the air flowing from the atmosphere release port easily flows into the second adsorbent through the end portion, close to the atmosphere release port, of the second adsorbent. On this account, even when the flow dividing plate is provided, the deterioration of the use efficiency of the second adsorbent can be suppressed.</p>', '<p id=""p-0017"" num=""0016"">According to the third aspect of the present invention in the present application, the second adsorbent is configured such that the evaporated fuel adsorption ability is higher at the portion, close to the atmosphere release port in the extending direction of the passage, of the second adsorbent than at the portion, far from the atmosphere release port in the extending direction of the passage, of the second adsorbent. With this, the advancement of the remaining fuel components toward the atmosphere release port in the second adsorbent by capillarity becomes slower as the remaining fuel components get close to the atmosphere release port. Therefore, the time from when the engine stops until when the fuel components reach the end portion, close to the atmosphere release port, of the second adsorbent can be further increased. Thus, the release of the fuel components to the atmosphere can be suppressed more satisfactorily.</p>']"
78,US10174771B2,Dual 4-port electromagnetic valve,utility,"['<p id=""p-0019"" num=""0017"">According to the present invention, one electromagnetic valve has functions of two 4-port valves by rationally incorporating a valve mechanism including two 4-port valves into one valve body. Therefore, the length of the electromagnetic valve can be made much shorter than in a case where two 4-port valves that are independent of each other are arranged face to face.</p>']"
79,US10174787B2,Motion guide apparatus,utility,"['<p id=""p-0009"" num=""0008"">According to the present invention, the fall prevention portion to reduce the width of the opening between the retaining portions or between the retaining portion and the movable body is provided to the center part of the retaining portion in the length direction. Accordingly, even if the retaining portion warps or distorts depending on molding conditions, it is possible to prevent an increase in width of the opening and retain the rolling elements by the retaining portion.</p>']"
80,US10174799B2,Disk brake,utility,"['<p id=""p-0008"" num=""0007"">According to the present invention, it is possible to improve the work efficiency when the friction pad is attached to the mount member.</p>']"
81,US10174844B2,Shaft seal mechanism,utility,"['<p id=""p-0016"" num=""0015"">The shaft seal mechanism according to the present invention locks the thin-plate seal pieces from the inside in the radial direction of the rotating shaft and accordingly, even if pressing force is applied to the thin-plate seal pieces, can suppress deformation due to the pressing force and prevent abrasion due to contact with the rotating shaft in the thin-plate seal pieces.</p>']"
82,US10174864B2,Fluid controller heating apparatus and fluid control apparatus,utility,"['<p id=""p-0022"" num=""0021"">According to the fluid controller heating apparatus of the invention, the heater unit includes a pair of heat-transfer members each including a plate-shaped heater fixed thereto, and the heat-transfer members are attached so as to hold the fluid controller therebetween and are configured to be capable of being coupled to each other, so that the heater unit is formed into a cylindrical shape. Therefore, heating is achieved not only from both sides of the fluid controller, but also from the entire periphery of the fluid controller, so that an improvement of the heating performance is achieved. Since the heat-insulation member surrounding the heater unit is also formed into a cylindrical shape, a superior heat-insulation performance is achieved. The heating apparatus may be installed by mounting the heat-insulation member, which is an integrated product, after the pair of heat-transfer members are mounted so as to hold the fluid controller therebetween from both sides. Therefore, installation is facilitated and is achieved with a small installation space.</p>']"
83,US10174872B2,Gasket,utility,"['<p id=""p-0024"" num=""0026"">The gasket of the embodiment of the present invention can appropriately keep seal ability of the inner seal portion and the outer seal portion with a simple structure. In addition, the sheet-like core member of the gasket has the easily-deformable portion, thereby effectively inhibiting influence over the seal ability, caused by heat expansion or distortion of the attachment face.</p>']"
84,US10174909B2,Optical member and microlens array,utility,"['<p id=""p-0011"" num=""0010"">According to the optical member according to an aspect of the present invention, it is possible to enhance the efficiency of focusing the light from a phosphor.</p>', '<p id=""p-0012"" num=""0011"">Moreover, according to the microlens array according to an aspect of the present invention, it is possible to enhance the efficiency of focusing the light from a phosphor.</p>']"
85,US10174914B2,"Light-emitting-element mounting substrate, light emitting device, and light emitting module",utility,"['<p id=""p-0008"" num=""0007"">A light-emitting-element mounting substrate according to an aspect of the present invention includes a substrate, a mount portion for mounting a light emitting element on a main surface of the substrate, and a resin frame surrounding the mount portion in plan view and to be in contact with an encapsulant for encapsulating the light emitting element to be mounted. The resin frame includes a recess in a main surface thereof, the recess surrounding the mount portion in plan view. With such a structure, even if stress is generated due to thermal expansion of the encapsulant when the light emitting element is encapsulated with the encapsulant and the light emitting device is activated, the stress is dispersed in a part of the resin frame that is adjacent to the recess and protrudes in a direction perpendicular to the main surface of the substrate. As a result, it is possible to suppress removal of the encapsulant from the light-emitting-element mounting substrate due to expansion of the encapsulant in the planar direction.</p>', '<p id=""p-0009"" num=""0008"">A light emitting device according to another aspect of the present invention includes the light-emitting-element mounting substrate having the structure described above, a light emitting element mounted on the light-emitting-element mounting substrate, and an encapsulant disposed in the recess and encapsulating the light emitting element. Thus, the light emitting device can efficiently emit light for a long period.</p>', '<p id=""p-0010"" num=""0009"">A light emitting module according to another aspect of the present invention includes the light emitting device described above, and a module substrate to which the light emitting device is connected. Thus, the light emitting module can efficiently emit light for a long period.</p>']"
86,US10174940B2,Raw material powder-heating method,utility,"['<p id=""p-0038"" num=""0049"">According to the combustion burner of the present invention, by providing two or more raw material powder introduction pipes, through which raw material powder is introduced to the raw material powder supply pathway, in the first raw material powder supply pathway-partitioning circular member that partitions an outer side of the raw material powder supply pathway, and disposing the raw material powder introduction pipes so as to be inclined so that angles that are formed by central axes of the raw material powder introduction pipes and an outer surface of the second raw material powder supply pathway-partitioning circular member are angles that are larger than 0° and smaller than 90°, it is possible to disperse the raw material powder inside the raw material powder supply pathway in a circumferential direction (a horizontal direction) of the raw material powder supply pathway by causing the raw material powder to collide with external walls of the second raw material powder supply pathway-partitioning circular member.</p>', '<p id=""p-0039"" num=""0050"">Furthermore, since it is possible to cause the raw material powder to collide with the external walls of the second raw material powder supply pathway-partitioning circular member by disposing the two or more raw material powder introduction pipes so that axes that extend from central axes of the raw material powder introduction pipes do not intersect a central axis of the burner main body, and so as to be rotationally symmetrical to a burner central axis, it is possible to make dispersal of the raw material powder inside the raw material powder supply pathway uniform in a circumferential direction of the raw material powder supply pathway.</p>', '<p id=""p-0040"" num=""0051"">As a result of this, since it is possible to eject the dispersed raw material powder from the raw material powder-ejecting port, it is possible to efficiently heat the raw material powder using a flame and/or a high temperature region in the vicinity of the flame (hereinafter, referred to as a “flame region”).</p>', '<p id=""p-0041"" num=""0052"">In addition, since it is not necessary to use a particularly high-speed vapor flow (a vapor for raw material powder transport) in the dispersal of the raw material powder, the configuration of the combustion burner is not complicated, and therefore, it is difficult for the combustion burner to become blocked.</p>', '<p id=""p-0042"" num=""0053"">Accordingly, according to the combustion burner of the present invention, it is possible to efficiently perform heating of a raw material powder by improving the dispersibility of the raw material powder that is ejected from a raw material powder-ejecting port using a simple configuration.</p>']"
87,US10174942B2,Combustion-type exhaust gas treatment apparatus,utility,"['<p id=""p-0039"" num=""0039"">According to the present invention, the following effects can be achieved.</p>', '<p id=""p-0040"" num=""0040"">(1) By operating the scraper which scrapes the solid matters adhering to the inner wall of the combustion treatment chamber to remove the solid matters from the inner wall of the combustion treatment chamber during treatment for treating the exhaust gas by combusting and decomposing the exhaust gas, prolonged continuous operation of the apparatus becomes possible.</p>', '<p id=""p-0041"" num=""0041"">(2) By adjusting the mixture gas produced by premixing the fuel gas and the oxidizing gas outside the combustion range and supplying the mixture gas to the main burner during treatment for treating the exhaust gas by combusting and decomposing the exhaust gas and at the time when the scraper is in operation to scrape off the solid matters adhering to the inner wall of the combustion treatment chamber, a backfire into the main burner and the main burner pipe can be prevented.</p>', '<p id=""p-0042"" num=""0042"">(3) During treatment for treating the exhaust gas by combusting and decomposing the exhaust gas and at the time when the scraper is in operation to scrape off the solid matters adhering to the inner wall of the combustion treatment chamber, by igniting the pilot burner for start-up and supplying a pilot light into the combustion treatment chamber, a flame in the combustion treatment chamber is prevented from being extinguished during operation of the scraper.</p>', '<p id=""p-0043"" num=""0043"">(4) By providing an ejector mechanism in a fuel supply pathway of the pilot burner for start-up to raise a pressure of the fuel blown off from the pilot burner, the pilot burner flame is insusceptible to pressure fluctuation, and thus the flame of the pilot burner can be stabilized. Therefore, during operation of the scraper, the flame can be prevented from being extinguished in the combustion treatment chamber.</p>']"
88,US10174971B2,Heat cycle system,utility,"['<p id=""p-0017"" num=""0029"">According to the present invention, it is possible to provide a heat cycle system which employs a working fluid having suppressed influence over global warming and having practical heat cycle performance containing HFO-1123, and in which self-decomposition reaction of HFO-1123 can be avoided even in a case where the interior of the system is in an abnormal high temperature or high pressure condition.</p>']"
89,US10174986B2,Heat source machine and control method therefor,utility,"['<p id=""p-0022"" num=""0021"">According to the present invention, an overshoot in the outlet temperature of the heat medium can be suppressed. Consequently, for example, even in the case where the set outlet temperature of the heat medium is set to around 0° C., water can be used as the heat medium, and the thermal efficiency in the heat exchanger can be enhanced.</p>', '<p id=""p-0023"" num=""0022"">According to the present invention, a forcible stop of the heat source machine can be avoided even under the conditions that the heat source machine load is high and that the outside temperature is high. Consequently, a stable heat source machine operation can be achieved.</p>']"
90,US10174990B2,Refrigerator,utility,"['<p id=""p-0030"" num=""0029"">The refrigerator according to the present invention offers an advantage in that a door is pushed forward through a pushing member by virtue of a reaction force that opposes the force applied to a body upon the downward movement of a handle, thereby enabling the door to be easily opened, and even a user such as a child, who is short, can easily open the door by pulling the handle downward while grasping the handle.</p>', '<p id=""p-0031"" num=""0030"">Furthermore, the refrigerator according to the present invention offers an advantage in that, since the height of a handle can be lowered, a user such as a child, who is short, can pull the handle in the horizontal direction or in a direction close to the horizontal direction and can thus easily open a door.</p>', '<p id=""p-0032"" num=""0031"">In addition, a user can select an action of pulling a handle while lowering the handle or an action of pulling the handle only in the forward direction, thereby providing convenience in opening a door.</p>', '<p id=""p-0033"" num=""0032"">Furthermore, the refrigerator according to the present invention offers an advantage in that, since a higher reaction force can be created by virtue of second gear and third gear which serve as reduction gears, it is possible to open a door even by using a relatively small force.</p>']"
91,US10175009B2,"Method for manufacturing refrigerant distributor, refrigerant distributor manufacturing apparatus, refrigerant distributor, heat exchanger, and air-conditioning device",utility,"['<p id=""p-0019"" num=""0018"">By using the refrigerant distributor manufacturing method, the refrigerant distributor manufacturing apparatus, the refrigerant distributor, the heat exchanger, and the air-conditioning apparatus of an embodiment of the present invention, it is possible to form the sacrifice positive electrode layer conveniently, efficiently, and accurately on the surface of the refrigerant distributor having a complicated shape. Further, it is also possible to prevent the strength in the surroundings of the joined parts from being lowered by excessive heating during the formation of the sacrifice positive electrode layer.</p>']"
92,US10175050B2,"Image processing device, image processing method, and program",utility,"['<p id=""p-0012"" num=""0011"">According to a technique of the present disclosure, it is possible to provide navigation to a destination to a user even in a state in which acquisition of a current position via a positioning module is difficult.</p>']"
93,US10175076B2,Ultrasonic flow meter,utility,"['<p id=""p-0016"" num=""0015"">According to the ultrasonic flow meter of the invention, separately provided ultrasonic transceiver units are easily mounted on both sides of the straight conduit, a compact structure is achieved, and in addition, a less amount of usage of an expensive corrosion-resistant resin is required.</p>']"
94,US10175107B2,Light-detecting device,utility,"['<p id=""p-0019"" num=""0018"">According to the present invention, a light-detecting device that can suppress a temperature characteristic of a transmission wavelength of a Fabry-Perot interference filter from being deteriorated can be provided.</p>']"
95,US10175132B2,"Pressure sensor, differential pressure sensor, and mass flow rate control device using same",utility,"['<p id=""p-0020"" num=""0019"">The present invention makes it possible to prevent the diaphragm and a strain sensor from exfoliating from each other; be hardly susceptible to the influence of temperature in an operating environment; not to allow the sensitivity of a pressure sensor to be dominated only by the mechanical characteristic of a material constituting the diaphragm; and to increase the degree of freedom in design of members constituting the pressure sensor, even when a stainless steel is adopted in a diaphragm.</p>']"
96,US10175172B2,Multicolor detection device,utility,"['<p id=""p-0024"" num=""0024"">According to the present invention, it is possible to miniaturize a system which performs multicolor detection of light beams emitted from the light-emitting-point array and to miniaturize the entire size of various apparatuses using the system. Accordingly, it is possible to reduce space in which the system or the apparatuses is to be placed, the system or the apparatuses can be carried, and usability of the system or the apparatuses is improved. The number of components constituting the system is reduced and the component itself is miniaturized to thereby make it possible to reduce manufacturing cost.</p>', '<p id=""p-0025"" num=""0025"">In addition to matters described above, a problem to be solved, a configuration, and effect will be apparent from description of the following embodiments.</p>']"
97,US10175183B2,Agent for searching for protein crystallization conditions and method of searching for protein crystallization conditions,utility,"['<p id=""p-0020"" num=""0024"">According to the agent for searching for protein crystallization conditions of the present invention, it is possible to carry out an efficient and practical search for the crystallization conditions by an examination of conditions in which a load is relatively low.</p>', '<p id=""p-0021"" num=""0025"">Moreover, according to the method for searching for protein crystallization conditions of the present invention, it is possible to carry out efficient and practical setting of conditions suitable for protein crystallization in a step in which a load is relatively low.</p>']"
98,US10175247B2,"Physical change evaluation device, method, and recording medium stored with program",utility,"['<p id=""p-0022"" num=""0020"">The present invention exhibits advantageous effects of enabling easy evaluation of physical change from the past to the present, and easy evaluation of physical change from the present into the future</p>']"
99,US10175264B2,"Data display processing device, data display processing method and control program for scanning probe microscope",utility,"['<p id=""p-0045"" num=""0044"">According to the present invention, when measurement data sets showing various physical quantities acquired by an SPM are displayed as images on a screen of a display unit, the user can easily view a plurality of measurement data sets without a troublesome operation.</p>']"
