,publication_number,patent_title,appl_type,positive_text
47,US10203071B2,Reflection type fluorescence light source apparatus,utility,"['<p id=""p-0012"" num=""0011"">According to the fluorescence light source apparatus of the present invention, the sealing layer covering the back surface and the peripheral side surface of the reflection layer is provided in close contact with a peripheral area of the back surface of the fluorescent plate made of the phosphor and the metal oxide via the adhesion layer, whereby the sealing structure of the reflection layer is formed. The reflection layer can thus be brought into close contact with the fluorescent plate, on the back surface side of the fluorescent plate, via other component layers provided according to need. Since the reflection layer is not exposed to the ambient atmosphere such as the air, a drop in the reflectance of the reflection layer due to surface deterioration by oxidation, sulfuration and the like can be prevented.</p>', '<p id=""p-0013"" num=""0012"">According to the fluorescence light source apparatus of the present invention, a drop in reflectance can be prevented and high emission efficiency can be obtained over a long period of time without causing the problem of exfoliation of the reflection layer from the fluorescent plate.</p>']"
48,US10203078B2,Daylighting structure,utility,"['<p id=""p-0019"" num=""0018"">The present invention can, by the means for solving the problem described above,</p>', '<p id=""h-0010"" num=""0000"">(11) attenuate the brightness of a winter-time incident light or a setting sun of small elevation angles with respect to a person in the building interior, in daylighting to a building interior,</p>', '<p id=""h-0011"" num=""0000"">(12) cause the incident light to be diffused and emitted toward a ceiling surface or into a deep portion of an indoor space region regardless of the elevation angle of the incident light,</p>', '<p id=""h-0012"" num=""0000"">(13) reliably and efficiently diffuse an emitted light to an indoor by preventing a refracted incident light in an outdoor region curved surface from, in a sense, exiting downward from a lower side reflection surface, and</p>', '<p id=""h-0013"" num=""0000"">(14) make use modes as the daylighting structure selectable and diversified by configuring so that a diffused and emitted light area toward a ceiling surface side of the indoor space region can appropriately shift to a depth direction.</p>']"
49,US10203089B2,"Light flux controlling member, light emitting device and method for manufacturing light flux controlling member",utility,"['<p id=""p-0012"" num=""0012"">The present invention can provide a light flux controlling member, even with a burr being formed during manufacturing of the same, which is free from positional displacement due to the burr during mounting, and a light emitting device including the same.</p>']"
50,US10203093B2,"Phosphor wheel, light source unit, and image display device",utility,"['<p id=""p-0014"" num=""0013"">As described above, according to the present disclosure, it is possible to restrain vibration caused by a driving unit for rotatably driving a wheel and reduce noise in a high frequency band. Note that the effects described above are not necessarily limitative. With or in the place of the above effects, there may be achieved any one of the effects described in this specification or other effects that may be grasped from this specification.</p>']"
51,US10203122B2,Air-conditioning and ventilation apparatus,utility,"['<p id=""p-0021"" num=""0024"">The air-conditioning and ventilation apparatus according to the present invention can operate an air-conditioning coil with a cooling capacity value at which the absolute humidity of air supplied into a room becomes equal to or lower than indoor target absolute humidity set previously, on the basis of outdoor air temperature and outdoor air humidity.</p>']"
52,US10203136B2,Air conditioning system and method for controlling same,utility,"['<p id=""p-0034"" num=""0033"">In the air conditioning system according to the first aspect of the present invention or the method for controlling an air conditioning system according to the thirteenth aspect, the overall efficiency can be improved in an air conditioning system in which a plurality of indoor units are disposed in the same indoor space.</p>', '<p id=""p-0035"" num=""0034"">In the air conditioning system of the second aspect, the overall efficiency of the air conditioning system can be improved while sufficient air-conditioning capability is maintained.</p>', '<p id=""p-0036"" num=""0035"">In the air conditioning system of the third aspect, the overall efficiency of the air conditioning system can be improved while sufficient air-conditioning capability is maintained by the appointment of a target evaporation temperature or a target condensation temperature in the target value appointing unit.</p>', '<p id=""p-0037"" num=""0036"">In the air conditioning system of the fourth aspect, the overall efficiency of the air conditioning system can be improved while reflecting the differences between each indoor unit in at least one of the degree of influence on the thermal environment and the degree of influence on the comfort of the occupants.</p>', '<p id=""p-0038"" num=""0037"">In the air conditioning system of the fifth aspect, the overall efficiency of the air conditioning system can be improved while reflecting the difference in the degree of influence of each indoor unit on the thermal environment, using the rated capacities of the indoor units.</p>', '<p id=""p-0039"" num=""0038"">In the air conditioning system of the sixth aspect, the overall efficiency of the air conditioning system can be improved while reflecting the difference in the degree of influence of each indoor unit on the thermal environment, using the air-conditioning capabilities of the indoor units.</p>', '<p id=""p-0040"" num=""0039"">In the air conditioning system of the seventh aspect, the overall efficiency of the air conditioning system can be improved while reflecting the difference in the degree of influence of each indoor unit on the thermal environment, using the airflow volumes of the indoor units.</p>', '<p id=""p-0041"" num=""0040"">In the air conditioning system of the eighth aspect, the overall efficiency of the air conditioning system can be improved while using the occupant densities of the surrounding areas of the indoor units to provide an environment that more people will find comfortable.</p>', '<p id=""p-0042"" num=""0041"">In the air conditioning system of the ninth aspect, the overall efficiency of the air conditioning system can be improved while using the weighting set values of the indoor units to provide an environment corresponding to the separate circumstances of the occupants.</p>', '<p id=""p-0043"" num=""0042"">In the air conditioning system of the tenth aspect, the overall efficiency of the air conditioning system can be improved while autonomously suppressing efficiency loss due to changes in thermo-ON conditions, via the airflow volume of the air blower in each indoor unit.</p>', '<p id=""p-0044"" num=""0043"">In the air conditioning system of the eleventh aspect, the overall efficiency of the air conditioning system can be improved while autonomously suppressing efficiency loss due to changes in thermo-ON conditions, via the opening degree of the expansion mechanism in each indoor unit.</p>', '<p id=""p-0045"" num=""0044"">In the air conditioning system of the twelfth aspect, the overall efficiency of the air conditioning system can be improved while the entire air conditioning system is harmonized by centralized controllers.</p>']"
53,US10203163B2,Cooling system and electronic device,utility,"['<p id=""p-0014"" num=""0013"">The occurrence probability of a case in which when the gas phase medium is transferred from the heat receiving means to the heat radiation means, the gas phase medium is cooled and changed into the liquid phase heat medium and whereby, the transfer of the gas phase medium is blocked decreases. For this reason, air or the like warmed by heat generated by an electronic apparatus can be efficiently cooled.</p>']"
54,US10203208B2,Position estimation device and position estimation method,utility,"['<p id=""p-0013"" num=""0011"">As described above, the present disclosure makes it possible to more favorably estimate the position of a flight vehicle. Note that the effects described above are not necessarily limitative. With or in the place of the above effects, there may be achieved any one of the effects described in this specification or other effects that may be grasped from this specification.</p>']"
55,US10203245B2,"Ultraviolet-sensitive sheet, method for manufacturing ultraviolet-sensing sheet, and method for sensing ultraviolet",utility,"['<p id=""p-0026"" num=""0025"">The present invention provides an ultraviolet-sensing sheet that facilitates ultraviolet irradiance over a wide area, that is effective in ultraviolet irradiance in a range from 1 to 1,000 mJ/cm<sup>2</sup>, a method for manufacturing such an ultraviolet-sensing sheet, and a method for sensing ultraviolet.</p>']"
56,US10203257B2,Physical-quantity detection device,utility,"['<p id=""p-0008"" num=""0007"">According to the aspect of the invention, it is possible to reduce pour water and dust adherence to the humidity sensor element with a simple structure. Furthermore, other objects, advantages, and features of the invention will be apparent from the following description of embodiments.</p>']"
57,US10203265B2,Optical fiber evaluation method and optical fiber evaluation device,utility,"['<p id=""p-0013"" num=""0012"">With the aspects of the present invention, the performance of the coupled multi-core optical fiber can be evaluated without core alignment.</p>']"
58,US10203277B2,Automatic analysis device and automatic analysis method,utility,"['<p id=""p-0024"" num=""0025"">The present invention allows setting of a line range used for laboratory test value conversion for each sample. This results in acquisition of a precise laboratory test value for each sample. The present invention also allows the number of samples targeted for reexamination to be made smaller than by conventional devices. Additionally, if a second approximation formula is calculated using a plurality of measurement point data acquired up to a predetermined time, and a line range of a reaction curve is estimated on the basis of the second approximation formula, the time required to determine a line range can be shortened. Moreover, inclusion of a function of outputting an index of precision for a line range allows assurance of the precision of a laboratory test value and a predictive value.</p>']"
59,US10203278B2,Far-infrared imaging device and far-infrared imaging method,utility,"['<p id=""p-0014"" num=""0017"">According to the invention, it is possible to perform imaging at a high speed by using a high-power light source without causing damage to or a non-linear Phenomenon in a specimen serving as an imaging target.</p>']"
60,US10203326B2,Method of detecting target substance,utility,"['<p id=""p-0015"" num=""0025"">The method of detecting a target substance of the present invention realizes high detection sensitivity in detection of a target substance by utilizing thermoresponsive magnetic particles.</p>', '<p id=""p-0016"" num=""0026"">Other and further features and advantages of the invention will appear more fully from the following description, appropriately referring to the accompanying drawings.</p>']"
61,US10203346B2,Automatic analysis device,utility,"['<p id=""p-0015"" num=""0014"">According to the simply described effect which can be obtained through the representative embodiment in the invention disclosed in this application, it is possible to realize a reduction of reagent costs in an automatic analysis device.</p>']"
62,US10203367B2,Quality evaluation method for laminate having protective layer on surface of oxide semiconductor thin film and quality control method for oxide semiconductor thin film,utility,"['<p id=""p-0032"" num=""0031"">According to the invention, the electronic state of the oxide semiconductor thin film is measured by a contact method or a noncontact method, thereby a failure caused by an interfacial defect between the oxide semiconductor thin film and the protective film can be evaluated, predicted, and measured. Specifically, using the evaluation method of the invention eliminates the need of actual measurement of stress resistance, such as the shift amount of threshold voltage, the initial repetition characteristic, or an absolute value of the threshold voltage as a TFT characteristic.</p>', '<p id=""p-0033"" num=""0032"">The evaluation method of the invention is applied to one step of a semiconductor manufacturing process, thereby quality control of the oxide semiconductor thin film can be performed during a manufacturing process of TFT.</p>']"
63,US10203372B2,Fuel cell powered vehicle testing system and method thereof,utility,"['<p id=""p-0015"" num=""0014"">According to this arrangement, it becomes possible not only to perform a test of a power system of a fuel cell powered vehicle simply and safety but also to improve reliability of repetition of the test.</p>']"
64,US10203430B2,Method of producing optical laminate comprising hard coat layer comprised of cured product of composition comprising (meth)acrylic prepolymer having hydroxyl group,utility,"['<p id=""p-0027"" num=""0026"">According to the present invention, the following optical laminate is provided. The optical laminate includes a base material layer and a hard coat layer formed by applying a composition for forming a hard coat layer onto a (meth)acrylic resin film (base material film), and a penetration layer formed by the penetration of the composition for forming a hard coat layer into the (meth)acrylic resin film. Accordingly, despite the fact that the optical laminate uses, as its base material film, the (meth)acrylic resin film having low moisture permeability, the optical laminate is excellent in adhesiveness between the base material film and the hard coat layer, and has suppressed interference unevenness. The optical laminate of the present invention can provide excellent adhesiveness between the (meth)acrylic resin film (base material film) and the hard coat layer without providing any anchor layer and without subjecting the (meth)acrylic resin film (base material film) to any physical treatment. In addition, according to the present invention, a hard coat layer can be formed also on a (meth)acrylic resin film (base material film) having a UV absorbing ability as well as low moisture permeability so as to have excellent adhesiveness with the film.</p>']"
65,US10203469B2,Auto focus locking unit and photographing apparatus including the same,utility,"['<p id=""p-0030"" num=""0029"">One or more embodiments of the present invention include an auto focus (AF) locking unit supporting a lens group barrel holder in an optical axis direction by using a rotation of a cam barrel, and a photographing apparatus including the AF locking unit.</p>', '<p id=""p-0031"" num=""0030"">One or more embodiments of the present invention includes an AF locking unit supporting a lens group barrel holder that is descends by rotation of a cam barrel in an optical axis direction by using a locking lever that is provided with an elastic force, and a photographing apparatus including the AF locking unit.</p>', '<p id=""p-0032"" num=""0031"">One or more embodiments of the present invention includes an AF locking unit supporting a lens group barrel holder that descends corresponding to rotation of a cam barrel in an optical axis direction by using a locking lever contacting a fixing protrusion, and a photographing apparatus including the AF locking unit.</p>', '<p id=""p-0033"" num=""0032"">One or more embodiments of the present invention includes an AF locking unit supporting a semi-circular protrusion of a lens group barrel holder descending in correspondence to rotation of a cam barrel in an optical axis direction by using a locking lever protrusion contacting a fixed protrusion and a locking plate separated from the locking lever protrusion, and a photographing apparatus including the AF locking unit.</p>', '<p id=""p-0034"" num=""0033"">One or more embodiments of the present invention includes an AF locking unit supporting a lens group barrel holder in an optical axis direction by using a locking plate contacting a part of a semi-circular protrusion of the lens group barrel holder that is descended, and a photographing apparatus including the AF locking unit.</p>', '<p id=""p-0035"" num=""0034"">One or more embodiments of the present invention includes an AF locking unit, in which a locking lever elastic member provides a locking lever with maximum elastic force when a lens group barrel holder reaches an accommodation location, and a photographing apparatus including the AF locking unit.</p>', '<p id=""p-0036"" num=""0035"">One or more embodiments of the present invention includes an AF locking unit, in which a distance between a front surface of a lens group barrel holder and an inner side surface of a ball guide is reduced less than that of a case where the lens group barrel holder reaches a protruding location in correspondence to a compressive transformation length of a locking lever elastic member when the lens group barrel holder reaches an accommodation location, and a photographing apparatus including the AF locking unit.</p>', '<p id=""p-0037"" num=""0036"">One or more embodiments of the present invention includes an AF locking unit supporting a lens group barrel holder in an optical axis direction, and a photographing apparatus including the AF locking unit.</p>', '<p id=""p-0038"" num=""0037"">Additional aspects will be set forth in part in the description which follows and, in part, will be apparent from the description, or may be learned by practice of the presented embodiments.</p>']"
66,US10203520B2,Progressive power lens group,utility,"['<p id=""p-0031"" num=""0030"">According to the invention, it is possible to provide a progressive power lens group which gives a comfortable posture to an individual when a different lens in the same lens group is selected.</p>']"
67,US10203523B2,Progressive power lens,utility,"['<p id=""p-0020"" num=""0019"">According to the present invention, in the progressive power lens having the both-sides composite progressive structure, the surface refractive power (namely, the depth of the lens curve) is suppressed to be large and the progressive power lens is suppressed to be thick, and thereby outer appearance, performance in fashion or the like as the lens for glasses can be improved.</p>']"
68,US10203558B2,Liquid crystal display device,utility,"['<p id=""p-0025"" num=""0024"">According to the liquid crystal display device of the present invention, which has the above-described configuration, at least one of the radical scavenger and the antioxidant can inactivate radicals that have flowed out into the liquid crystal layer to prevent the decrease in voltage holding ratio. As a result, if the seal part has a reduced width, a sufficient voltage holding ratio can be maintained over a long period of time to prevent the occurrence of burn-in and stains on a display screen.</p>']"
69,US10203594B2,Projector,utility,"['<p id=""p-0011"" num=""0012"">According to the projector of the present invention, the operation icons are easy to be seen and favorable operation is possible.</p>']"
70,US10203601B2,"Tetracarboxylic acid diester compound, polymer of polyimide precursor and method for producing same, negative photosensitive resin composition, patterning process, and method for forming cured film",utility,"['<p id=""p-0079"" num=""0076"">According to the present invention, it is possible to provide a tetracarboxylic acid diester compound capable of giving a polymer of a polyimide precursor which can be used as a base resin of an organic solvent development type negative photosensitive resin composition. In patterning using the negative photosensitive resin composition containing the polymer of a polyimide precursor obtained from such a tetracarboxylic acid diester compound, development using a versatile and safety organic solvent becomes possible, and solubility in the developer becomes sufficiently high, so that the resolution can be improved. Further, swelling hardly occurs in development, so that a fine pattern having a good pattern profile can be obtained.</p>', '<p id=""p-0080"" num=""0077"">Furthermore, according to the present invention, by subjecting to post-curing of the obtained pattern-formed film, a protective film excellent in chemical resistance can be provided since a substituent having high solubility in the organic solvent, which had worked dominantly for improving resolution in the patterning, is eliminated by the imide ring-closing reaction to give a stable polyimide film. In addition, the resulting film becomes a protective film excellent in mechanical strength, adhesiveness to the substrate, electric characteristics and reliability which are characteristics of polyimide.</p>']"
71,US10203616B2,"Electrophotographic photoreceptor, electrophotographic photoreceptor cartridge, and image forming apparatus",utility,"['<p id=""p-0029"" num=""0028"">The present invention is capable of providing an electrophotographic photoreceptor which has remarkably excellent abrasion resistance and ozone resistance while maintaining the residual potential, and can be applied to the high-end models, an electrophotographic photoreceptor cartridge, and a full color image forming apparatus.</p>']"
72,US10203639B2,"Silicone rubber composition for highly heat conductive thermal fixing roll or thermal fixing belt, fixing roll, and fixing belt",utility,"['<p id=""p-0012"" num=""0029"">The highly thermal conductive silicone rubber composition for forming a thermal fixing roll or belt of the present invention is capable of producing a silicone rubber which exhibits low compression set despite its high thermal conductivity, which experiences reduced change in the physical properties under high temperature conditions, and which is well adapted for use as a coating material of fixing rolls and fixing belts. The highly heat conductive thermal fixing roll and the highly heat conductive thermal fixing belt having the silicone rubber layer formed from the highly thermal conductive silicone rubber composition of the present invention are quite useful for use as a fixing roll such as heat roll and pressure roll as well as a fixing belt of a copier machine or a laser beam printer.</p>']"
73,US10203647B2,"Bearing member, end member, photoreceptor drum unit, developing roller unit, process cartridge, and manufacturing method of bearing member",utility,"['<p id=""p-0036"" num=""0037"">According to the end member, the bearing member, the photoreceptor drum unit, the developing roller unit, and the process cartridge of the present invention, since the swing of the shaft member at least in one direction is caused by the swing between the intermediate member and the main body, the swing of the shaft member becomes smooth. Since the swing is not related to the shape of the shaft member, it is possible to ensure sufficiently smooth swing even when there is slight dimensional non-uniformity or the like in the shaft member. In addition, since the intermediate member and the main body are linked to each other by snap-fit jointing, the assemblability and disassemblability are excellent, and reusing properties and productivity are also excellent.</p>', '<p id=""p-0037"" num=""0038"">In addition, according to the manufacturing method of a bearing member of the present invention, even when the bearing member has a structure for snap-fit jointing, it is possible to easily manufacture the bearing member by injection molding.</p>']"
74,US10203650B2,Powder container and image forming apparatus,utility,"['<p id=""p-0014"" num=""0013"">According to an embodiment of the present invention, it is possible to use differences in positions in a direction different from the radial direction as differences in identifier shape portions.</p>']"
75,US10203681B2,Sequence-program-creation supporting apparatus,utility,"['<p id=""p-0017"" num=""0016"">The sequence-program-creation supporting apparatus according to the present invention facilitates description of the dedicated command in the sequence program creation. Therefore, there is an effect that even an unskilled operator can easily create an accurate sequence program.</p>']"
76,US10203687B2,Numerical control device,utility,"['<p id=""p-0012"" num=""0012"">According to the numerical control device of the present invention, an effect is obtained where it is possible to control an output of a movement command in a direction of an axis not included in a designated machining plane.</p>']"
77,US10203850B2,"Data editing apparatus, data editing method, and data editing program",utility,"['<p id=""p-0020"" num=""0019"">According to the present invention, an effect can be obtained that screen data in certain project data can be easily diverted to other project data.</p>']"
78,US10203851B2,Defect classification apparatus and defect classification method,utility,"['<p id=""p-0019"" num=""0018"">According to the present invention, a GUI having a less load on a user, a classification apparatus, a classification method, a program, and a storage medium storing the program can be provided.</p>']"
79,US10203979B2,"Virtual machine control device, method for controlling virtual machine control device, management device, and method for controlling management device",utility,"['<p id=""p-0022"" num=""0021"">The disclosed subject matter enables reduction of the service outage time of a virtualized base station when software of a base station virtual machine is updated.</p>']"
80,US10204107B2,Recording and reproducing data based on conversion of data format,utility,"['<p id=""p-0034"" num=""0033"">According to an embodiment of the present disclosure, a device and a method enabling data to be recorded and reproduced in a configuration for which an application execution unit and a file system of a data recording medium are not suitable are realized.</p>', '<p id=""p-0035"" num=""0034"">Specifically, the file conversion processing unit inputs the file compatible with the first file system and generated by the application execution unit and generates a plurality of divided files compatible with the second file system and storing data with a size which is an integer multiple of a data size of an aligned unit regulated as a data processing unit in the first file system and is also an integer multiple of a cluster size which is a data processing unit in the second file system. At the time of reproduction, the divided files are connected to generate a stream file compatible with the virtual first file system.</p>', '<p id=""p-0036"" num=""0035"">In such a configuration, a device and a method enabling data to be recorded and reproduced in a configuration for which an application execution unit and a file system of a data recording medium are not suitable are realized.</p>']"
81,US10204153B2,"Data analysis system, data analysis method, data analysis program, and storage medium",utility,"['<p id=""p-0017"" num=""0016"">The present invention has the advantageous effect that it can find necessary information for the user efficiently.</p>']"
82,US10204321B2,Device for searching and method for searching for similar breakdown cases,utility,"['<p id=""p-0012"" num=""0011"">A diagnosis system according to the present invention adapts a similar case search technology in which, when the abnormality of machine is detected, a database is searched to obtain abnormality cases similar to the abnormality of the machine, and even if the condition has changed owing to repairs or replacements of components, past abnormality cases with high degrees of similarity can be searched for and provided to a maintenance person.</p>']"
83,US10204404B2,Image processing device and image processing method,utility,"['<p id=""p-0014"" num=""0013"">According to an aspect of the present disclosure, the illumination information is acquired on the basis of the virtual illumination body within the real space, and the image of the subject under an illumination environment based on the illumination information is generated from the illumination information and the subject information associated with illumination of the subject. Therefore, the setting of an illumination environment in the generation of a subject image under a desired illumination environment can be easily performed using the position, direction or the like of the virtual illumination body which is provided within the real space.</p>', '<p id=""p-0015"" num=""0014"">Meanwhile, effects described in the present specification are merely illustrative and are not limited, and additional effects may be present.</p>']"
84,US10204632B2,"Audio/speech encoding apparatus and method, and audio/speech decoding apparatus and method",utility,"['<p id=""p-0026"" num=""0025"">By adopting Huffman codes which consume fewer bits, the total bits consumption to encode the differential indices can be reduced.</p>']"
85,US10204713B2,Emergency decision-making assistance system,utility,"['<p id=""p-0035"" num=""0039"">According to the emergency decision-making assistance system of the present invention, the information management unit operable to generate display data on the basis of emergency information and to share the emergency information via the network, the display unit operable to display a plurality of pieces of the display data generated by the information management unit, the console unit operable to switch between the plurality of pieces of display data displayed on the display unit, and the storage unit configured to store the plurality of pieces of display data generated by the information management unit are provided. It is thus possible to display and confirm only the up-to-date necessary information to effectively assist decision-making.</p>']"
86,US10204760B2,Charged particle beam apparatus,utility,"['<p id=""p-0020"" num=""0019"">According to the present invention, in the middle of a defect detection process, it is possible to decrease the number of integrated image frames of an integrated frame image of a site appearing as a defect on a sample.</p>', '<p id=""p-0021"" num=""0020"">In addition, according to the present invention, an imaging region is reduced. In this manner, it can be expected that a processing time in a defect detection sequence is shortened.</p>', '<p id=""p-0022"" num=""0021"">Furthermore, a vector scanning method is employed. In this manner, optimal scanning can be performed corresponding to a shape of the site appearing as the defect. Accordingly, the defect detection accuracy is improved, thereby providing an advantageous effect that the imaging time can be further shortened.</p>', '<p id=""p-0023"" num=""0022"">An object, configuration, and advantageous effect in addition to those described above will become apparent from description of the following embodiment.</p>']"
87,US10204761B2,"Charged particle beam device, electron microscope and sample observation method",utility,"['<p id=""p-0016"" num=""0017"">According to one aspect of the present invention, it can be determined whether or not a sample after a pre-process is appropriate for observation with an electron microscope, and it is possible to perform high accuracy and stable observation of the electron microscope.</p>', '<p id=""p-0017"" num=""0018"">In addition, according to one aspect of the present invention, it is possible to observe the electron microscope while maintaining a favorable frozen state by adjusting an observation condition according to the state of the sample.</p>', '<p id=""p-0018"" num=""0019"">Problems, configurations, and effects other than those described above will be clarified from the description of embodiments below.</p>']"
88,US10204773B2,Ion guide and mass spectrometer using same,utility,"['<p id=""p-0014"" num=""0013"">According to the present invention, it is possible to realize an ion guide that can separate the air current and the ions from each other, and has high ion transmission efficiency.</p>', '<p id=""p-0015"" num=""0014"">In addition to the description above, problems, configuration, and effects are clarified by the following description of the embodiments.</p>']"
89,US10204824B2,Method for producing SOI wafer,utility,"['<p id=""p-0025"" num=""0024"">According to the present invention, since the silicon thin pieces on the terrace oxide film can be removed in a stage just after the delamination heat treatment in which adherence strength is low, it is possible to fabricate a bonded SOI wafer with no silicon thin piece on the terrace oxide film. By performing flattening of the SOI layer surface by high-temperature annealing in an atmosphere containing argon gas while maintaining this state, it is possible to prevent the appearance of bright spots (depressions) in the terrace portion.</p>']"
90,US10204872B2,Power module and power conversion apparatus having a warpage suppression portion,utility,"['<p id=""p-0009"" num=""0008"">According to the present invention, a power module having favorable heat dissipation property with respect to a heat sink and increased reliability can be provided because a warpage suppression portion is formed and warpage deformation can be suppressed.</p>']"
91,US10204973B2,Display device and thin-film transistors substrate,utility,"['<p id=""p-0013"" num=""0012"">The present disclosure provides a display device that includes a thin-film transistor having a reduced on-state resistance, and a thin-film transistor substrate.</p>']"
92,US10205065B2,Light-emitting device,utility,"['<p id=""p-0018"" num=""0017"">According to the present invention, it is possible to provide a light-emitting device capable of adjusting color temperature by power supply from a single power source.</p>']"
93,US10205165B2,Negative electrode active material for nonaqueous electrolyte secondary batteries and nonaqueous electrolyte secondary battery,utility,"['<p id=""p-0010"" num=""0009"">According to the present invention, nonaqueous electrolyte secondary batteries having a large battery capacity and excellent charge/discharge cycle characteristics may be provided.</p>']"
94,US10205174B2,Electrode catalyst ink composition,utility,"['<p id=""p-0043"" num=""0042"">According to the present invention, an electrode catalyst ink composition which shows good dispersion of metal oxide-based electrode catalyst particles and can form an electrode catalyst layer without cracking is provided.</p>']"
95,US10205177B2,"Porous metal body, method for manufacturing porous metal body, and fuel cell",utility,"['<p id=""p-0015"" num=""0014"">According to the present invention, it is possible to inexpensively provide a porous metal body which is usable for an electrode of a fuel cell and which has excellent corrosion resistance.</p>']"
96,US10205193B2,Lead acid battery,utility,"['<p id=""p-0011"" num=""0011"">According to the present invention, it is possible to provide a highly reliable lead acid battery that can sufficiently exert its cycle life characteristics, even when operated under comparatively severe conditions of idling stop control.</p>']"
97,US10205198B2,Power tool and battery pack,utility,"['<p id=""p-0038"" num=""0037"">According to the power tool of the present invention, the motor can be continuously driven even when receiving the halt signal from the battery pack. Accordingly, a period of time during the power tool is continuously usable can be lengthened.</p>', '<p id=""p-0039"" num=""0038"">Further, according to the battery pack and the power tool of the present invention, the performance of the power tool can be maximized while suppressing malfunctions in the battery pack.</p>']"
98,US10205199B2,Portable rechargeable power supply device,utility,"['<p id=""p-0019"" num=""0018"">In the portable rechargeable power supply device of the present invention, the dividing section partitions the case into the terminal housing case portion, in which at least the at least one terminal and the first electrically conducting sections are housed, and the main body housing case portion, in which at least the at least one lithium-ion battery, the hazard prevention section and the second electrically conducting sections are housed. Further, the first electrically conducting sections and the second electrically conducting sections are electrically connected to each other via the connecting portion disposed in a predetermined portion in the dividing section. The dividing section prevents leaked water in the terminal housing case portion that has leaked in through the at least one terminal and the surrounding part thereof from further leaking into the main body housing case portion through the predetermined portion of the dividing section. Even when rain water, etc. leaks into the terminal housing case portion through the at least one terminal or the surrounding part thereof, further leakage of the leaked rain water, etc. into the main body housing case portion can be prevented. Therefore, the hazard prevention section housed in the main body housing case portion can be prevented from being damaged by rain water, etc., and a serious incident due to overcharge and the like can be prevented.</p>']"
99,US10205333B2,Battery controlling device,utility,"['<p id=""p-0008"" num=""0007"">According to the present invention, deterioration of the performance of the secondary battery can be reliably prevented even in a case in which the temperature is largely changed during usage of the secondary battery.</p>']"
100,US10205351B2,"Wireless power transmitter, wireless power repeater and wireless power transmission method",utility,"['<p id=""p-0017"" num=""0016"">According to the embodiment, the wireless power transmitter transmits energy through a repeater resonator corresponding to a location of a wireless power receiver, so that energy transmission efficiency to a wireless power receiver may be improved.</p>', '<p id=""p-0018"" num=""0017"">Further, the wireless power transmitter concentrates energy transmission to a specific repeater resonator, so that the waste of the power may be reduced and generation of a magnetic field harmful to the human body may be reduced.</p>', '<p id=""p-0019"" num=""0018"">Further, a shielding unit is formed to surround a repeater resonant coil unit, so a magnetic field may be prevented from leaking to an external.</p>', '<p id=""p-0020"" num=""0019"">Meanwhile, other various effects may be directly or indirectly disclosed in the following description of the embodiment of the disclosure.</p>']"
101,US10205402B2,Power conversion device for converting power between a DC circuit and an AC circuit by performing a non-linear operation,utility,"['<p id=""p-0014"" num=""0014"">According to this invention, a plurality of chopper cells of each leg circuit operate in accordance with a result of a non-linear operation of a first voltage command value representing an AC voltage component to be output from the plurality of chopper cells, a second voltage command value representing a DC voltage component to be output from the plurality of chopper cells, and a third voltage command value representing a voltage to be output from the plurality of chopper cells in order to suppress a circulating current. Consequently, control of a circulating current and control of electric quantities of an AC terminal and a DC terminal can both be achieved without interference therebetween.</p>']"
102,US10205493B2,Method and system for MU-MIMO communication,utility,"['<p id=""p-0051"" num=""0055"">According to the present invention, it is possible to provide improved techniques for overcoming at least one of the abovementioned disadvantages or providing the consumer with a useful or commercial choice.</p>']"
103,US10205502B2,"Aircraft-antenna controlling device, aircraft, aircraft-antenna selecting program, and aircraft-antenna controlling method",utility,"['<p id=""p-0026"" num=""0025"">According to the present invention, a superior advantage is afforded in that it is possible to select an antenna that is optimal for communication with a wingman aircraft from among multiple antennas.</p>']"
104,US10205528B2,Optical transmitter and optical communication method,utility,"['<p id=""p-0016"" num=""0015"">An exemplary advantage according to the present invention is that it becomes possible to compensate non-linearity in an optical transmitter during operations.</p>']"
105,US10205543B2,Wireless communication system and method for monitoring the quality of a wireless link and recommending a manual adjustment to improve the quality of the wireless link,utility,"['<p id=""p-0019"" num=""0018"">According to an embodiment of the present technology, an appropriate environment corresponding to communication quality between electronic devices can be provided. Note that an effect described herein is not the limitation and may be any of the effects disclosed in the present disclosure.</p>']"
106,US10205582B2,Method and apparatus for processing activation/deactivation of inter-eNodeB carrier aggregation,utility,"['<p id=""p-0016"" num=""0015"">An object of the present invention is to at least solve one of the above technical defects. Particularly, by using available SCellIndex in the eNodeB with respect to SCells of different cell groups when a master eNodeB adds SCells, in the scenario of inter-eNodeB carrier aggregation, the high misinterpretation rate, caused when UE receives MAC CEs for activation/deactivation from different eNodeBs, may be effectively decreased, so that the accuracy and effectiveness of activation/deactivation are ensured, and the manner of activation/deactivation of intra-eNodeB carrier aggregation (conventional carrier aggregation) is compatible.</p>']"
